SM;SIFRA_M;KONTO;CENA;KOLICINA;VREDNOST;POCST_K;POCST_V;ULAZK;ULAZ_V;IZLAZK;IZLAZ_V;STANJE_K;STANJE_V;ST_MAG
41;321103564;101010;18441.63;1;18441.63;1;18441.63;0;0;0;0;1;18441.63;0
41;321103587;101010;68867.22;4;275468.87;4;275468.87;0;0;0;0;4;275468.87;0
41;321103624;101010;78526.1;3;235578.31;3;235578.31;0;0;0;0;3;235578.31;0
41;321103643;101010;218981.65;1;218981.65;1;218981.65;0;0;0;0;1;218981.65;0
41;321103644;101010;83136.27;1;83136.27;1;83136.27;0;0;0;0;1;83136.27;0
41;321103649;101010;6292.47;2;12584.93;2;12584.93;0;0;0;0;2;12584.93;0
41;321200051;101000;3713.29;3;11139.87;3;11139.87;0;0;0;0;3;11139.87;0
41;321300002;101000;2230.29;14;31224.07;14;31224.07;0;0;0;0;14;31224.07;0
41;322110003;101000;361;3;1083;3;1083;0;0;0;0;3;1083;0
41;322110005;101000;112;4;448;4;448;0;0;0;0;4;448;0
41;322110011;101000;2.56;13;33.22;13;33.22;0;0;0;0;13;33.22;0
41;322110014;101000;66.4;2;132.8;2;132.8;0;0;0;0;2;132.8;0
41;322110015;101000;3;119;357;119;357;0;0;0;0;119;357;0
41;322110024;101000;37;4;148;4;148;0;0;0;0;4;148;0
41;322110027;101000;2;163;326;163;326;0;0;0;0;163;326;0
41;322110033;101000;596.95;8;4775.63;8;4775.63;0;0;0;0;8;4775.63;0
41;322110041;101000;184.84;1;184.84;1;184.84;0;0;0;0;1;184.84;0
41;322110042;101000;4.9;35;171.5;35;171.5;0;0;0;0;35;171.5;0
41;322110044;101000;360.14;2;720.28;2;720.28;0;0;0;0;2;720.28;0
41;322110045;101000;1065;5;5324.99;5;5324.99;0;0;0;0;5;5324.99;0
41;322110047;101000;190;2;380;2;380;0;0;0;0;2;380;0
41;322110050;101000;4.3;142;610.6;142;610.6;0;0;0;0;142;610.6;0
41;322110054;101000;8.27;9;74.41;9;74.41;0;0;0;0;9;74.41;0
41;322110055;101000;153.38;2;306.75;2;306.75;0;0;0;0;2;306.75;0
41;322110070;101000;2180.84;4;8723.36;4;8723.36;0;0;0;0;4;8723.36;0
41;322110094;101000;365;42;15330;42;15330;0;0;0;0;42;15330;0
41;322120002;101000;89.33;4;357.33;4;357.33;0;0;0;0;4;357.33;0
41;322120003;101000;48;3;144;6;288;0;0;3;144;3;144;0
41;322120005;101000;396.68;1;396.68;3;1190.05;0;0;2;793.37;1;396.68;0
41;322120009;101000;1710;1;1710;1;1710;0;0;0;0;1;1710;0
41;322120010;101000;8.63;48;414.47;54;466.28;0;0;6;51.81;48;414.47;0
41;322120019;101000;3.36;16;53.8;16;53.8;0;0;0;0;16;53.8;0
41;322120020;101000;1.8;2;3.6;2;3.6;0;0;0;0;2;3.6;0
41;322120021;101000;85;2;170;2;170;0;0;0;0;2;170;0
41;322120022;101000;17.8;2;35.59;2;35.59;0;0;0;0;2;35.59;0
41;322120023;101000;114.93;1;114.93;1;114.93;0;0;0;0;1;114.93;0
41;322120024;101000;73.8;2;147.6;2;147.6;0;0;0;0;2;147.6;0
41;322120025;101000;186.82;2;373.63;6;1120.9;0;0;4;747.27;2;373.63;0
41;322120029;101000;343.6;1;343.6;1;343.6;0;0;0;0;1;343.6;0
41;322120032;101000;55.88;7;391.19;7;391.19;0;0;0;0;7;391.19;0
41;322120033;101000;15;17;255.01;17;255.01;0;0;0;0;17;255.01;0
41;322120034;101000;148.3;6;889.77;6;889.77;0;0;0;0;6;889.77;0
41;322120040;101000;129.92;2;259.83;2;259.83;0;0;0;0;2;259.83;0
41;322120041;101000;522;1;522;1;522;0;0;0;0;1;522;0
41;322120045;101000;116;3;348;3;348;0;0;0;0;3;348;0
41;322120047;101000;53.8;2;107.6;5;269;0;0;3;161.4;2;107.6;0
41;322120069;101000;2758.28;1;2758.28;1;2758.28;0;0;0;0;1;2758.28;0
41;322120071;101000;1104.46;2;2208.91;2;2208.91;0;0;0;0;2;2208.91;0
41;322120072;101000;37;3;111.01;3;111.01;0;0;0;0;3;111.01;0
41;322120074;101000;151.46;10;1514.6;10;1514.6;0;0;0;0;10;1514.6;0
41;322120087;101000;115;4;460;4;460;0;0;0;0;4;460;0
41;322120095;101000;3420;8;27360;8;27360;0;0;0;0;8;27360;0
41;322200001;101010;41.78;4;167.1;4;167.1;0;0;0;0;4;167.1;0
41;322200002;101000;56.93;6;341.6;6;341.6;0;0;0;0;6;341.6;0
41;322200004;101000;116.14;2;232.27;2;232.27;0;0;0;0;2;232.27;0
41;322200005;101000;55.67;4;222.66;4;222.66;0;0;0;0;4;222.66;0
41;322200006;101000;0;0;0;1;181.15;0;0;1;181.15;0;0;0
41;322200009;101010;34.04;5;170.18;5;170.18;0;0;0;0;5;170.18;0
41;322200011;101010;502.84;4;2011.36;4;2011.36;0;0;0;0;4;2011.36;0
41;322200013;101000;230.37;3;691.12;3;691.12;0;0;0;0;3;691.12;0
41;322200015;101000;51.55;2;103.09;2;103.09;0;0;0;0;2;103.09;0
41;322200019;101010;75.99;3;227.98;3;227.98;0;0;0;0;3;227.98;0
41;322200021;101000;113.55;4;454.18;4;454.18;0;0;0;0;4;454.18;0
41;322200022;101000;258.12;5;1290.62;5;1290.62;0;0;0;0;5;1290.62;0
41;322200023;101010;368.99;9;3320.94;9;3320.94;0;0;0;0;9;3320.94;0
41;322200025;101010;540.75;3;1622.24;3;1622.24;0;0;0;0;3;1622.24;0
41;322200026;101010;431.91;1;431.91;1;431.91;0;0;0;0;1;431.91;0
41;322200030;101010;1223.73;5;6118.63;5;6118.63;0;0;0;0;5;6118.63;0
41;322200034;101000;284.83;8;2278.65;8;2278.65;0;0;0;0;8;2278.65;0
41;322200041;101010;580.5;1;580.5;1;580.5;0;0;0;0;1;580.5;0
41;322300001;101010;251.76;3;755.28;3;755.28;0;0;0;0;3;755.28;0
41;322300005;101000;46.71;54;2522.09;54;2522.09;0;0;0;0;54;2522.09;0
41;322300006;101010;165.7;4;662.81;4;662.81;0;0;0;0;4;662.81;0
41;322300008;101010;239.04;14;3346.61;14;3346.61;0;0;0;0;14;3346.61;0
41;322300009;101010;0;0;0;2;660.85;0;0;2;660.85;0;0;0
41;322300017;101000;2570.49;1;2570.49;1;2570.49;0;0;0;0;1;2570.49;0
41;322300019;101000;1502.77;55;82652.44;55;82652.44;0;0;0;0;55;82652.44;0
41;322300022;101010;3275.11;1;3275.11;1;3275.11;0;0;0;0;1;3275.11;0
41;322300024;101000;333.84;2;667.68;2;667.68;0;0;0;0;2;667.68;0
41;322300026;101000;608.65;4;2434.61;4;2434.61;0;0;0;0;4;2434.61;0
41;322300027;101010;2398.65;5;11993.25;5;11993.25;0;0;0;0;5;11993.25;0
41;322300028;101010;0;0;0;2;982.36;0;0;2;982.36;0;0;0
41;322300030;101010;440.47;4;1761.86;4;1761.86;0;0;0;0;4;1761.86;0
41;322300031;101000;359.11;6;2154.66;6;2154.66;0;0;0;0;6;2154.66;0
41;322300035;101000;1397.69;6;8386.14;6;8386.14;0;0;0;0;6;8386.14;0
41;322300036;101000;288.46;3;865.39;3;865.39;0;0;0;0;3;865.39;0
41;322300038;101000;726.37;70;50845.55;70;50845.55;0;0;0;0;70;50845.55;0
41;322300039;101000;140.96;7;986.72;7;986.72;0;0;0;0;7;986.72;0
41;322300049;101000;275.27;255;70193.49;255;70193.49;0;0;0;0;255;70193.49;0
41;322300055;101000;989.6;33;32656.87;33;32656.87;0;0;0;0;33;32656.87;0
41;322300061;101010;490.23;16;7843.7;16;7843.7;0;0;0;0;16;7843.7;0
41;322300064;101010;3569.12;1;3569.12;1;3569.12;0;0;0;0;1;3569.12;0
41;322300067;101000;1584.11;1;1584.11;1;1584.11;0;0;0;0;1;1584.11;0
41;322300070;101000;6295.06;1;6295.06;1;6295.06;0;0;0;0;1;6295.06;0
41;322300074;101010;3321.18;7;23248.26;7;23248.26;0;0;0;0;7;23248.26;0
41;322300079;101000;2519.71;20;50394.2;20;50394.2;0;0;0;0;20;50394.2;0
41;322500009;101000;1049.63;1;1049.63;1;1049.63;0;0;0;0;1;1049.63;0
41;322500026;101010;14474.96;1;14474.96;1;14474.96;0;0;0;0;1;14474.96;0
41;322500036;101010;22718.77;4;90875.06;4;90875.06;0;0;0;0;4;90875.06;0
41;322500087;101010;25381.38;4;101525.51;4;101525.51;0;0;0;0;4;101525.51;0
41;341310023;101000;31;6;186;6;186;0;0;0;0;6;186;0
41;341600031;101000;116.67;2;233.33;2;233.33;0;0;0;0;2;233.33;0
41;341700049;101000;181.94;3;545.83;3;545.83;0;0;0;0;3;545.83;0
41;342700001;101000;6802.14;3;20406.43;3;20406.43;0;0;0;0;3;20406.43;0
41;342700002;101000;6430;3;19290;3;19290;0;0;0;0;3;19290;0
41;361100251;101000;492.61;2;985.22;2;985.22;0;0;0;0;2;985.22;0
41;361100254;101000;320;2;640;2;640;0;0;0;0;2;640;0
41;361100270;101000;2345;1;2345;1;2345;0;0;0;0;1;2345;0
41;361100304;101000;5709.22;3;17127.65;3;17127.65;0;0;0;0;3;17127.65;0
41;361100305;101000;420.28;2;840.56;2;840.56;0;0;0;0;2;840.56;0
41;361100309;101000;280;2;560;2;560;0;0;0;0;2;560;0
41;361100327;101000;491.43;4;1965.7;4;1965.7;0;0;0;0;4;1965.7;0
41;361100354;101000;810;1;810;1;810;0;0;0;0;1;810;0
41;361100446;101000;180;3;540;3;540;0;0;0;0;3;540;0
41;361100450;101000;50;3;150;3;150;0;0;0;0;3;150;0
41;361100463;101000;50;5;250;5;250;0;0;0;0;5;250;0
41;361100472;101000;3800;2;7600;2;7600;0;0;0;0;2;7600;0
41;361100591;101000;800;1;800;1;800;0;0;0;0;1;800;0
41;361100599;101000;800;2;1600;2;1600;0;0;0;0;2;1600;0
41;361100628;101000;800;4;3200;4;3200;0;0;0;0;4;3200;0
41;361100641;101000;733.33;3;2200;3;2200;0;0;0;0;3;2200;0
41;361100660;101000;920;2;1840;2;1840;0;0;0;0;2;1840;0
41;361100661;101000;580;1;580;1;580;0;0;0;0;1;580;0
41;361100662;101000;280;1;280;1;280;0;0;0;0;1;280;0
41;361300002;101000;109.44;6;656.66;6;656.66;0;0;0;0;6;656.66;0
41;361300021;101000;250;1;250;1;250;0;0;0;0;1;250;0
41;361300022;101000;500;1;500;1;500;0;0;0;0;1;500;0
41;361300043;101000;40;6;240;6;240;0;0;0;0;6;240;0
41;361300045;101000;100;2;200;2;200;0;0;0;0;2;200;0
41;362200009;101000;1991.78;16;31868.43;16;31868.43;0;0;0;0;16;31868.43;0
41;362200015;101010;1823.14;12;21877.69;12;21877.69;0;0;0;0;12;21877.69;0
41;372100004;101000;430;54;23220;54;23220;0;0;0;0;54;23220;0
41;373200310;101000;2600;3;7800;3;7800;0;0;0;0;3;7800;0
41;373300166;101000;629;2;1258;2;1258;0;0;0;0;2;1258;0
41;393300038;101000;27250;1;27250;1;27250;0;0;0;0;1;27250;0
41;393300989;101000;27250;2;54500;2;54500;0;0;0;0;2;54500;0
41;393300990;101000;34450;2;68900;2;68900;0;0;0;0;2;68900;0
41;393301028;101000;3150;4;12600;4;12600;0;0;0;0;4;12600;0
41;393301761;101000;1575;2;3150;2;3150;0;0;0;0;2;3150;0
41;393301782;101000;27298.15;24;655155.65;24;655155.65;0;0;0;0;24;655155.65;0
41;393301795;101000;44670;10;446700;10;446700;0;0;0;0;10;446700;0
41;393900511;101000;128;16;2048;16;2048;0;0;0;0;16;2048;0
41;393900626;101000;133.65;62;8286.03;62;8286.03;0;0;0;0;62;8286.03;0
41;393900955;101000;306.6;8;2452.8;8;2452.8;0;0;0;0;8;2452.8;0
41;393900997;101000;122;54;6588;54;6588;0;0;0;0;54;6588;0
41;393901775;101000;43;8;344;8;344;0;0;0;0;8;344;0
41;393901840;101000;192.12;96;18443.16;96;18443.16;0;0;0;0;96;18443.16;0
41;393902037;101000;172.52;12;2070.29;12;2070.29;0;0;0;0;12;2070.29;0
41;393902053;101000;25;200;5000;200;5000;0;0;0;0;200;5000;0
41;393922307;101000;385;40;15400;40;15400;0;0;0;0;40;15400;0
41;393922353;101000;63;4;252;4;252;0;0;0;0;4;252;0
41;393922404;101000;280;10;2800;10;2800;0;0;0;0;10;2800;0
41;393922413;101000;235;12;2820;12;2820;0;0;0;0;12;2820;0
41;393922437;101000;320;80;25600;80;25600;0;0;0;0;80;25600;0
41;393922456;101000;432;20;8640;20;8640;0;0;0;0;20;8640;0
41;393922459;101000;256;10;2560;10;2560;0;0;0;0;10;2560;0
41;393922462;101000;216;10;2160;10;2160;0;0;0;0;10;2160;0
41;393922474;101000;530;1;530;1;530;0;0;0;0;1;530;0
41;393922476;101000;530;2;1060;2;1060;0;0;0;0;2;1060;0
41;393922477;101000;39;2;78;2;78;0;0;0;0;2;78;0
41;393922502;101000;143;10;1430;10;1430;0;0;0;0;10;1430;0
41;393922503;101000;174;10;1740;10;1740;0;0;0;0;10;1740;0
41;393922507;101000;270;10;2700;10;2700;0;0;0;0;10;2700;0
41;393922508;101000;128;10;1280;10;1280;0;0;0;0;10;1280;0
41;393922518;101000;296;30;8880;30;8880;0;0;0;0;30;8880;0
41;393922523;101000;180;10;1800;10;1800;0;0;0;0;10;1800;0
41;393922524;101000;140;10;1400;10;1400;0;0;0;0;10;1400;0
41;393922528;101000;244.09;2;488.18;2;488.18;0;0;0;0;2;488.18;0
41;393922569;101000;338;40;13520;40;13520;0;0;0;0;40;13520;0
41;393922572;101000;195;4;780;4;780;0;0;0;0;4;780;0
41;393922573;101000;210;4;840;4;840;0;0;0;0;4;840;0
41;393922609;101000;244;24;5856;24;5856;0;0;0;0;24;5856;0
41;393922638;101000;146;10;1460;10;1460;0;0;0;0;10;1460;0
41;393922769;101000;47;16;752;16;752;0;0;0;0;16;752;0
41;393922772;101000;140;4;560;4;560;0;0;0;0;4;560;0
41;393922777;101000;170;20;3400;20;3400;0;0;0;0;20;3400;0
41;393922856;101000;332;48;15936;48;15936;0;0;0;0;48;15936;0
41;411100293;101000;3360;3;10080;3;10080;0;0;0;0;3;10080;0
41;411100300;101000;17315;2;34630;2;34630;0;0;0;0;2;34630;0
41;411100526;101000;235;167;39245;167;39245;0;0;0;0;167;39245;0
41;411100527;101000;258;167;43086;167;43086;0;0;0;0;167;43086;0
41;411100561;101000;315;2;630;2;630;0;0;0;0;2;630;0
