GRU;NAZIV
3114;vijci sa cilindricnom glavom
3115;vijci sa poluokruglom gl.,sociv. i upust. gl.
3116;vijci sa cilin.i upust.glav. i sest.rup. IMBUS
3117;vijci sa karakakteristicnim oblikom i glavom
3118;vijci svorni , urezni i bez. glave
3119;vijci za lim, drvo, plasticne tiplove i ostali
312;navrtke
3121;navrtke sestostrane i za opstu namenu
3122;navrtke samoosig.,sa vencem, zatvor., za zavariv
3123;navrtke  krunaste
3124;navrtke cetv.,sa vencem, prsten,krilas., narezan
3125;navrtke za osiguranje
3126;navrtke za cevne spojke
313;podloske
3131;podloske - podlozne plocice
3132;podloske ravne,kvadratne i kose
3133;podloske elasticne
3134;podloske za osiguranje
3135;podloske -zaptivaci
314;zakovice
315;civije
3151;civije cilindricne
3152;civije konicne
3153;civije elasticne
316;cepovi
3161;cepovi sa estostranom rupom
3162;cepovi sa sestostranom glavom
3163;cepovi ostalih oblika i namena
317;rascepke
3171;rascepke okrugle
3172;rascekpke pljosnate i klinaste
3173;rascepke ostalih oblika i namena
3141;zakovice sa poluokruglom i socivastom glavom
3142;zakovice sa upustenom glavom
3143;zakovice sa trapezastom glavom
318;klinovi
3181;klinovi standardni(ravni i kosi)
3182;klinovi po crtezu
319;ekseri i ostalo
32;Lezajevi,pribor za lezajeve i prateca oprema
321;lezajevi
3211;lezajevi kotrljajuci
3212;lezajevi klizni
32111;lezajevi kotrljajuci kuglicni
32112;lezajevi kotrljajuci valjcani
32113;lezajevi kotrljajuci iglicasti
32114;lezajevi kotrljajuci konusni
32115;lezajevi kotrljajuci bacvati
322;pribor za lezajeve
3221;uskocnici
3222;MB osiguraci
3223;KM navrtke
3224;kuglice
3225;sedla za pritezanje(Hilzne)
32211;uskocnici unutrasnji
32212;uskocnici spoljasnji
323;prateca oprema za lezajeve
3231;kucista za lezajeve
3232;ostala oprema za lezajeve
34;vodoistalacini materijal
35;lanci uzad i prateci pribor
33;Materijal i delovi za hidrauliku i pnematiku
4;NEMETALI (guma,plastika,koza,drvo,staklo i sl.)
41;proizvodi od gume(materjal idelovi za ugr.
4122;platna gumirana
4123;folije
411;trake ,profili,ploce...
4111;trake i ploce gumene ravne
4112;profilisana guma
4114;trake transportne
413;zaptivni materijal
4131;semerinzi
4132;manzetne
4133;"""o""prstenovi"
4134;zaptivke
41341;zaptivke prstenaste
41342;zaptivke tvrde prstenaste
41343;zaptivke za zaptivanje naglavaka
41344;zaptivke za visoke pritiske
41349;zaptivke ostalo
4139;zaptivni materjal ostalo
414;cevi i creva
4141;cevi
4142;creva
41421;creva za gasove
414211;creva za gasove za zavarivanje
414212;creva za gasove za komprimovani vazduh
414213;creva za gasove za komprimovani vazduh za alate
414215;creva za gasove i vodenu paru
414219;creva ostalo
41422;creva za neagresivne tecnosti
41423;creva za agresivne tecnosti
41424;creva za naftne derivate
41425;creva za rastresite materijale
41426;creva za visestruku namenu
41427;creva za posebne namene
414271;creva za posebne namene za hidrauliku
414272;creva za posebne namene za hladnjake
414273;creva za posebne namene za laboratoriju
414279;creva za posebne namene ostalo
41429;creva ostalo
4149;cevi i creva ostalo
415;remeni
4151;remeni klinasti
41511;remeni klinasti beskonacni normalne sirine
41512;remeni klinasti beskonacni uski
41513;remeni klinasti beskonacni siroki za varijatore
41514;remeni klinasti beskonacni ozubljeni za male rem
41517;remeni klinasti konacni
41519;remeni klinasti ostalo
4159;remeni ostalo
416;gume za transportna sredstva
4161;gume spoljne
4162;gume unutrasnje
4163;gumeni pojasevi
417;galanterija (tehnicki gumeni proizvodi)
4171;amortizeri
4172;ulosci gumeni
4173;odbojnici
4174;podmetaci
418;izolacioni materijal
419;proizvodi od gume ostalo
42;plasticni proizvodi(materjal i delovi za ugradnj
421;ploce,trake,profili
4211;ploce
4212;trake
4214;okrugla i profilisana plastika
4219;ploce, trake ,profili ostalo
422;cevi,creva i cevni elementi
4221;cevi
42211;cevi za energetiku
42212;cevi za hidrauliku i pneumatiku
42213;cevi za klimatizaciju i ventilaciju
42214;cevi za transport fluida
42215;cevi za vodovod i kanalizaciju
42219;cevi ostalo
4222;creva
4223;lukovi,kolena...
4224;racve
4229;cevi, creva i cevni elementi ostalo
423;folije,plastificirana platna
425;galanterija
427;plasticne komponente
429;plasticni proizvodi ostalo
44;proizvodi od koze i krzna
441;proizvodi od koze
4411;remeni
4412;trake
4414;kaisevi
4416;vezice
4419;proizvodi od koze ostalo
442;proizvodi od krzna
449;proizvodi od krzna ostalo
45;proizvodi od drveta
451;rezana drvena gradja
452;gotovi(industrijski) drveni proizvodi
453;razna drvena galanterija
4511;rezana drvena gradja-grede
457;pluta
459;proizvodi od drveta ostalo
46;proizvodi od stakla
461;staklo ravno
4611;staklo ravno obicno
4612;staklo ravno armirano
4614;staklo ravno vatrootporno
4619;staklo ostalo
462;staklo po crtezu
464;proizvodi od stakla i sl. mater.
4641;staklo klirit
47;materijali za peskarenje ,koksovanje..
471;materijali za peskarenje i sacmarenje
4711;kvarcni pesak
4713;pasta za sacmarenje
472;marerijali za koksovanje
49;nemetali ostalo
5;ELEKTROTEHNICKI MATERIJAL
51;elektromotori,transformatori...
511;elektromotori
512;agregati...
513;transformatori
519;elektromotori,transformatori ostalo
52;elektroinstalacioni materjal
521;provodnici,kablovi, pribor za prov.,kablove
5211;provodnici sa izolacijom
5212;kablovi
5213;kablovi produzni
5214;provodnici bez izol. (Zica)
5215;trake za uzmljenje,sine za razvod i sl.
5217;pribor za provodnike i kablove i elektromntaz.m.
5219;provodnici ostalo
522;xx
523;komponente rasklopnih postrojenja
5231;prekidaci
5232;kontaktori
5233;releji,bimetali
5234;rastavljaci
5235;osiguraci
5236;oduzimaci
5237;prikljucni pribor
5239;komponente rasklopnih postrojenja ostalo
524;prikljucnice(preb.na grupu 5272-uticnice)
525;rasvetna tela i svetiljke
5251;sijalice elektricne
5252;cevi svetlosne
5253;svetiljke
5255;pribor za elektricne sijalice
5256;pribor za svetlosne cevi
5257;pribor za svetiljke
5259;rasvetna tela i svetiljke ostalo
526;kutije instalacione
527;uitikaci i uticnice
528;xx
529;elektroinstalacionimaterjal ostalo
53;elektroizolacioni materijal
531;izolatori
532;trake samolepive
533;papir za elektro svrhe
539;elektroizolacioni materjal ostalo
54;elektrohemijski izvori
541;baterije
542;akumulatori
543;elekroliti
549;elektrohemijski izvori ostalo
55;delovi elektro uredjaja
551;komponente uredjaja rashlade i termotehnike
5511;grejaci
5512;regulatori temperature (termostati)
5513;temperaturni davaci
5514;isparivaci
5515;kompresori
5516;rashladni kondenzatori
5517;ventilatori
5518;pribori
5519;komponente ostalo
552;pretvaracki uredjaji,meraci,napajaci...
555;elektro delovi masina
559;delovi elektro uredjaja ostalo
56;komponente za elektroniku i telekomunikaciju
561;ekonderi i ...
562;kondezatori
563;poluprovodnicke komponente
5633;tranzistori
5638;stabilizatori
5639;poluuprovodnicke komponente ostalo
564;potencimetri, otpornici..
565;el. mag. kartice i stampane ploce
569;komponente za elektroniku i telekomunikacije ost
58;elektricni uredjaji za motorna vozila
581;alternatori,razvodnici paaljenja,releji..
5852;farovi stop svetla
585;zvucno svetlosna signalizacija
586;elektricni  instrumenti za motor. vozila
589;elektricni uredjaji za motorna vozila ostalo
59;elektrotehnicki materjal ostalo
6;HTZ OPREMA
61;licna zastitna sredstva
611;odela(komlet)
619;kape,slemovi,kapuljacei ostala oprema
612;mantili
613;prsluci
614;rukavice
615;cipele,cizme.borosane...
616;maske
617;kecelje,pregace
618;bunde
62;vatrogasna zastitna sredstva
63;sanitarna zastitna sredstva
69;htz ostalo
7;ANTIKOROZIVNA ZASTITA I HEMIJSKI PROIZVODI
7619;premazi ostalo
8;rezervni (Netipicni) delovi i potrosni mater.
9;OSTALO
999999;KLASIFIKATOR MATERIJALA I ALATA
5555555;VVV
36;opruge,zupcanoci...
361;opruge
3611;opruge po crtezu
3612;opruge po standardu
4512;rezana drvena gradja- daske
4513;rezana drvena gradja -letve
4514;rezana drvena gradja- lajsne
4521;sanduci drveni
4522;palete drvene
4523;podmetaci drveni
4524;ostali got.drveni proizvodi
43;proizvodi od azbesta,prespana,tekstila,papira...
431;materijal i gotovi delovi od azbesta
432;prespan,jugelit,klingerit i sl.
433;proizvodi od tekstila
434;papir
435;izolacioni materijal(stirior,staklena vuna)
4311;kocione obloge-ferode...
4312;table,ploce,trake ,lepenke azbestne
4313;pletenice azbestnei sl.
4314;zaptivke azbestne i sl.
4321;prespan
4322;jugelit
4323;tekstolit
4324;klingerit
4331;pamucne pletenice,kanapi...
4332;cirade,azbestno platno...
4333;galanter.teks.(zavese,dzakovi,kucina,pucv.,filc)
4351;stiropor
4352;staklena vuna,tervol,filc keramicki...
4341;terpapir,smirgle,flizelin...
4342;ostali papir. prizvodi(tapete,karton...)
1293;pletena zica
4325;grafit
5111;elektromotori trofazni
5112;elektromotori mofazni
37;razni masinski sklopovi i rezervni delovi
39;razna gotova roba
391;metalni okov i drugi bravarski delovi
393;ostala gotova roba
351;lanci
353;kuke
354;priveznice
355;stezaci ,drzaci...
356;uske(omce)
357;skopac
358;uzad
359;clanci za lance
3511;lanci industrijski(galov)
3512;lanci obicni
3911;kvake
3912;brave
3913;katanci
331;prikljucci,drzaci cevi,usecni prstenovi...
3311;prikljucci
3312;drzaci cevi
3313;usecni prstenovi
3314;selne,spojna navrtka,razni elemen.priklj.
3315;dozatori
3316;odusci
332;razni delovi za hidrauliku i pneumatiku
3321;mazalice i pribor za mazalice
3322;manometri,termometri,sonde...
3323;cilindri,aktuatori,pribor za cil.,hladnjaci...
3324;magneti
3325;razni elementi pneumatike(prigusnice,
3326;filtri
3327;kardanska vratila sa prib.za vezivanje
341;vodoinstalacioni materijal(delovi)
342;vodoinstalacioni materijal(gotovi proizvodi)
343;vodoistalacioni materijal(razni elementi)
3411;slavine
3412;cevni lukovi
3413;ventili i reduciri(i za hidrauliku i pnematiku)
3414;prirubnice
3415;holenderi
3416;kolena
3417;mufovi
3418;T-komadi(racve)
3419;dupli nipli
34131;ventili
34132;reduciri
3421;lavabo
3422;kade
3423;bojleri
3424;vodokotlici
3425;pisoari
3426;podne resetke
3431;kontra navrtke
3432;vijci za lavabo i sl.
3226;stezni prsten
71;tecna goriva ulja i maziva
711;tecna goriva
712;ulja i maziva
7111;nafta
7112;benzin
7113;ostala tecna goriva
72;gasovi industrijski
721;industrijski gasovi iz centralnog razvoda
722;industrijski gasovi u boci
7121;mptorna ulja
7123;industrijska ulja
7129;ostala ulja i maziva
71211;motorna ulja za teretna vozila i mehanizaciju
71212;motorna ulja za putnicka vozila
71213;motorna ulja za motoc. i male polj. masine
71214;motorna ulja za traktore
371;gazista,oprema za gazista,ograde i sl.
3711;gazista lim-lim
3712;gazista sa istegnutim metalom
3713;oprema za gazista
372;oprema i gotovi proizvodi za ugradnju
373;rezervni delovi za masine,opremu i aparate
3732;rezervni delovi za masine
7122;specijalna ulja za motorna vozila i industr. mas
71221;ulja za menjace
71222;ulja za hidraulicne kocnice
71223;tecnost za rashladne sisteme(antifrizi)
71224;ulja za lance motornih testera
71229;ostala specijalna ulj za masine
71231;hidraulicna ulja
71232;reduktorska ulja
71233;ulja za klizne staze
71234;ulja za lezajeve
71239;ostala industrijska ulja
7124;industrijske i automobilske masti
71241;automobilske masti
71242;univerzalne industrijske masti
71243;masti za visoke pritiske
71244;masti za visoke temperature
71245;masti za ekstremne uslove(paste)
71246;masti za zaupcaste prenosnike
71247;masti za prehrmbenu industriju
71248;masti za lance
71249;masti za posebne namene
7125;sredstva za mehanicku i termicku obr. metala
71251;sredstva za obradu struganjem i brusenjem
71252;sredstva za obradu rezanjem
71253;sredstva za obradu dubokim busenjem
71254;sredsva za obradu honovanjem i superfinisiranj.
71255;sredsva za obradu kovanjem
71256;sredsva za obradu kaljenjem
71259;ostala sredsva za mehanicku i term. obradu
73;premazna sredstva
731;radionicka premazna sredstva
732;osnovna premazna sredstva
733;medjupremazna sredstva
734;zavrsna premazna sredstva
736;vodorastvorna premazna sredstva
739;ostala premazna sredstva
7311;sop- prajmeri jednokomponentni 1K
7312;sop- prajmeri dvokomponentni 2K
7313;vos- prajmeri
7319;ostala radionicka premazna sredstva
7321;osnovna alkidna premazna sredstva
7322;osovna epoksiestarska premazna sredstva
7323;osnovna epoksidna premazna sredstva
7324;osnovna hlorkaucuk premazna sredstva
7325;osnovna vinilna premazna sredstva
7326;osnovna silikatna premazna sredstva
7327;osnovna bitumenska premazna sredstva
7328;osnovna poliuretanska premazna sredstva
7329;specijalna osnovna premazna sredstva
7331;alkidna medjupremazna sredstva
7332;epoksiestarska medjupremazna sredstva
7333;epoksidna medjupremazna sredstva
7334;hlorkaucuk medjupremazna sredstva
7335;akrilna medjupremazna sredstva
7336;vinilna medjupremazna sredstva
7337;bitumenska medjupremazna sredstva
7338;poliuretanska medjupremazna sredstva
7339;ostala medjupremazna sredstva
74;razredjivaci i odmascivaci
741;razredjivaci za premazna sredstva
742;odmascivaci
749;ostali razredjivaci i odmascivaci
7411;razredjivaci za jednokom. prem. sredstva
7412;razredjivaci za dvokomp. prem. sredstva
7419;ostali razredjivaci
74111;razredjivaci za hlorkaucuk sistem
74112;razredjivaci za alkidni sistem
74113;razredjivaci za epoksiestarski sistem
74114;razredjivaci za vinilni-akrilni 1k sistem
74116;razredjivaci za nitro sistem
74117;razredjivaci za protivpozarni sistem
74119;ostali razredjvaci za jednokomp prem. sred.
74115;razredjivaci za silikonski sistem
74121;razredjivaci za sop-prajmer 2k
74122;rezredjivaci za epoksidni sistem
74123;razredjivaci za vos-prajmere 2k
74124;razredjivaci za poliuretanski sistem
74125;razredjivaci za akrilni 2k sistem
74126;razredjivaci za silikatni sistem
74127;razredjivaci za poliester sistem
74129;ostali razredjivaci za dvokomp. prem. sred.
7413;specijalni razredjivaci
74131;razredjivaci za pranje alata
74132;razredivaci za skidanje stare boje
74133;razredjivaci za uklanjanje kamenca iz instal.
74139;ostali specijalni razredjivaci
5551;elektromag. kocnice, spojnice ...
5552;el.ventili...
7314;sredstva za fosfatizaciju
1719;odlivci bez kvaliteta( ?)
5559;razni elektro dlovi mas. i post.(pripor,kleme...
7341;zavrsna alkidna premazna sredstva
7342;zavrsna silikatna premazna sredstva
7343;zavrsna epoksidna premazna sredstva
7344;zavrsna hlorkaucuk premazna sredstva
7345;zavrsna akrilna premazna sredstva 1k i 2k
7346;zavrsna vinilna i vinil-akrilna prem. sredstva
7347;zavrsna bitumenska premazna sredstva
7348;zavrsna poliuretanska premazna sredstva
7349;silikonska i ostala zavrsna prem. sredstva
5421;akumulatori za industriju
5422;akumulatori za automob. ,kamione ...
4231;folije
362;zupcanici,caure...
363;vratila,rez.delovi za vratila,viljuske
3631;vratila(osovine)
3632;rezervni delovi za vratila
3722;delovi za ugradnju - valjci i sl.
7421;odmascivaci na bazi rastvaraca
7422;odmascivaci na bazi naftnih derivata
7423;odmascivaci na bazi deterdzenata
7429;ostali odmascivaci
75;lepkovi,kitovi,sredstva za zaptiv. i izolaciju
751;lepkovi
752;sredstva za zaptivanje
753;kitovi u antikorozionim sistemima
754;sredstva za hidro i zvucnu izolaziju
7511;neoprenski jednokomponentni lepkovi
7512;neoprenski dvokomponentni lepkovi
7513;epoksidni dvokomponentni lepkovi
7514;cijano-akrilni jednokomponentni lepkovi
7515;polivinil-acetatni lepkovi(za drvo)
7516;poliuretanski dvokomponentni lepkovi
7519;ostali lepkovi
7521;trajno elasticna zaptivna srdstva
7522;trajno plasticna zaptivna sredstva
7531;poliester dvokomp. brzosusivi kit
7532;poliester dvokomp. sporosusivi kit
7533;epoksidni dvokomp. kit
7534;nitro jednokomp. kit
7535;alkidni jednokomp. kit
7536;uljani jednokomp kit
7537;akrilni jednokomp. vodorastvorni kit
7539;ostali kitovi za antikorozivne sisteme
7541;sredstva za hidro izolaziju
7542;sredstva za zvucnu izolaziju
7549;ostala sredstva za izolaciju
75411;bitumenske trake na papiru,platnu i plastici
75412;bitumenske mase za hidroizolaziju
75413;bitumenske trake sa staklenom armaturom
735;specijalna premazna sredstva
7351;prem. sredstva za privremenu zastitu
7352;prem. sredstva u prahu (elektrostatska)
7353;protivpozarna prem. sredstva
7354;premazna sredstva u gradjevinarstvu
7355;premazna sredstva za drvo
7356;premazna sredstva za industrijske podove
7357;premazna sredstva za pecenje
7359;ostala specijalna premazna sredstva
73511;nesusiva prem. sred. za konzerviranje
73512;susiva prem. sred, za konzerviranje
73513;antikorozivna ulja za fine uredjaje
73514;antikorozivna ulja za oruzje i orudje
73515;susiva prem. sred. za obojene metale
73516;susiva prem. sred. za ofarbane met. povrsine
73517;prem. sred. za konzerviranje u namen. programu
73519;ostala sredstva za konzerviranje
73521;epoksidna prem. sred. u prahu
73522;epoksiestarska prem. sred. u prahu
73523;polestarska prem. sred. u prahu
73529;ostala prem. sred. u prahu
73531;sinteticka protivpozarna prem. sred.
73532;neorganska protivpozarna prem. sred.(vodorast.)
73539;ostala protivpozar. prem. srdstva
73591;prmazna sredstva protiv obrastaja
73592;slovopisacke boje i boje za obelezavanje
73599;ostala specijalna premazna sredstva
4721;koks,ugalj i sl.
4722;materijali za ter. obradu i sl.(katalizator...)
365;kleme
364;zapt.met.prstenovi,cepovi...
3642;zaptivi met. prstenovi,dist.prst...
631;pripor za odrzavanje cistoce(metle,cetke...)
6311;metle
6312;cetke
632;sredsva za odrzavanje higijene(sapuni,paste...)
6321;pasta za ruke
5113;delovi elektromotora i prateca oprema
3721;got.pr.-kasete,rasps.ulja,redukt.,kabine,vrata..
3723;delovi za ugradnju... gibanj, karika....
1294;zica-armaturna mreza
1295;zica-sito mreza
333;podmazivaci,pumpe,meraci.regulatori...
3331;podmazivaci
3333;pumpe
3334;regulat.,meraci prot.gasa,kompresori,razdel.gasa
3335;prikljucne table,ploce i sl.
18;Elektrode, elektrodni materijal i uredj. (rez.de
181;Oblo`ene elektrode za runo elektrolu~no zavariva
1811;Celulozne, rutilne i kisele oblo`ene elektrode
1812;Rutilne visokoproduktivne elektrode
1813;Bazi~ne elektrode za ugljeni~ne i niskolegirane
1814;Bazi~ne niskolegirane elektrode za zvar.finozrni
1815;Sred. i visokoleg. baz. ele. za ~el. otporne na
1819;Ostale specijalne elektrode
182;@ice za zavarivanje u za[titnoj atmosferi
1816;Bazi~ne i rutilne elektrode za ner\aju]e i visok
1817;Ele. za tvrdo nav.i spe.  ele. za tvrda nav. otp
1818;Elektrode za zavarivanje livenih gvo`\a (sivog l
184;Pra[kovi za zavarivanje
1841;Pra[kovi za ugljeni~ne i konstrukcione ~elike
1842;Pra[. za niskoleg.,legirane i mikroleg. rinozrne
1843;Pra[kovi za visokilegirane i ner\aju]e ~elike
185;@ice za TIG postupak
1851;@ice za TIG postupak za ugljeni~ne i konstr.~eli
1852;@ice za TIG postupak za legirane ~elike
1821;@ice za zavarivanje ugljeni~nih i konstrukcijski
1822;@ice za zav. u za[t. atm. niskoleg. finozrnih i
1823;@ice za zav. u za[t. atm. ner\aju]. i visokoleg.
183;@ice za zavarivanje pod pra[kom
1831;@ice za zav. pod pra[kom za ugljeni~ne ~elike
1832;@ice za zav. pod pra[kom za niskolegirane ~elike
1833;@ice za zav. pod pra[kom za visokoleg. i ner\aju
1853;@ice za TIG postupak za visokolegirane i ner\aju
186;Punjene `ice za zavarivanje u za[titnoj atmosfer
1861;Punjene `ice za zavarivanje ugljeni~nih i konstr
1862;Punjena `ica za zavar. niskoleg., legiranih i mi
1863;Punjene `ice za zavar. visoko legirani i ner\aju
1871;ELEKTRODA ZA `LJEBLJENJE(GRAFITNE,ARC-AIR)
1881;Topitelji za oksi-acetilensko zavarivanje
18811;BORAKS
1882;Sprej za lak[e uklanjanje bobica
18821;ESAB sprej
18822;"""HIGH TECK"" sprej"
1885;Bolcnovi
1886;Kerami~ki prstenovi
189;Ostali proizvodi
188;pomocni i dodatni materijal za zavarivanje
187;elektrode za zljebljenje(grafitne,ARC-AIR)
81;rezervni delovi
82;potrosni materijal
811;rezervni delovi za aparate za zavarivanje
8111;rervni delovi za zavarivanje(KEMPY)
8112;univerzalni delovi za sve aparate
8119;maske,klesta za zav.,drzaci za masu...
81191;klesta za zav.,stez.mase,spojke kabl.,tobolac...
81121;dizne, mlaznice ,vodjice ,sobe...
81192;maske za zavarivanje
81122;polikabli , creva za zav. ,sajle, krivi vrat..
81123;rezervni delovi za zavarivanje(Elektro)
3724;eht podizaci,esm podizaci...
3725;lancanici
81124;ostali delovi za aparate za zav.(tockici,bravice
3733;rez.delovi za prevozna sredstva
3726;dizalice.uredjaji za dizanje....
4152;KAIS PLJOSNATI
3227;valjci za lezaj
5331;FILTERI ZA ELEKTRO SVRHE
3714;gazista sa zicom
3715;ograde , ravne platforme ,stepeniste
37111;gazista lim-lim pocinkovana
37112;gazista lim-lim crna
37121;gazista sa istegnutim met.pocink.
37122;gazista sa istegnutim met.crna
37141;gazista sa zicom pocinkovana
37142;gazista sa zicom crna
3336;meraci i kontrolnici ulja
3332;AGREGATI ZA PODMAZIVANJE
52351;nozasti i ultrabrzi osiguraci
52352;cevasti osiguraci
52359;patroni,postolja,osnove,kape,kuc.(za osigurace)
37151;ograde
37152;ravne platforme
32213;uskocnici po crtezu
4175;caure gumene
3434;sklopke za vodu
621;protivpoz.aparati
3727;komandni pultovi....
5691;senzori...
3933;zastitnici,kutije,poklopci,kadice...
3551;stezaci(stege)
3552;drzaci
3435;sifoni za lav.,sifoni ostali...
3337;kucista cel.opsega...
5521;pretvaracki uredjaji i za napajanje
5522;meraci i merni instrumenti
5611;ZADAVAC VR. ,MODULI ZA NAPAJANJE...
5617;enkoderi (davaci)
5591;kocioni otpornici pogona
568;sklopovi za elektroniku
5682;industrijski kontroleri
5683;ultrazvucne glave
5692;alarmi,uredjaji za prer,vode....
592;oprema za posebne porudzbine(nejasno)
5264;kucista elektrour.
5263;poklopci za kuc.,orm.,brave,krovni filtri...
6313;kante
5131;transformatori(trafoi)
5851;sirene
4225;sifoni plasticni
3934;gromobrani,oluci...
4354;ostali izolacioni materijal
4353;pur-pena
4334;sintetic.proizv.-kofil filtri,creva trevira...
4274;vezice
4355;izolacione trake
3931;tablice
3932;epruvete
821;kancelarijski materijal
822; razni potrosni materijal
5121;agregati
52353;automat.osiguraci
52354;vicman
5312;izolacioni nosaci-bakelitni
5311;izolatori klasicni
5636;pribor- grec ispravljaci
5216;uzad,pletenice...
5631;diode
5632;tiristori
5634;triaci
5635;diaci
567;integralna kola ,memorije..
5641;potenciometri
5642;otpornici
566;magnetske kompnente
5671;integralna kola
5672;mikroprocesori
5673;memorije
5674;delovi za IC (podnozja,kucistya.. )
5621;kodezatori keramicki i ostali
5622;kodezatori elektrolitski
3338;razni delovi za hidrauliku,SKLOPOVI...
5651;el. mag. kartice
5652;stampane ploce(prazne)
5261;kutije razvodne
5262;ormari razvodni
3633;viljuske
3622;caure
5811;altenatori,alnaseri,regl.,osig.,pribor...
5271;utikaci
5272;uticnice-prikljucnice
57;elektricni merni istrumenti
571;elektricni mer. istr. za merenje napona.struje..
5711;voltmetri
5722;ampermetri
1526;nosac Z
5553;irc
5831;ampule ulja
5841;releji
5842;pribor za rel.
3634;poluge,klackalice...
3621;zupcanici
3914;sarke
5554;nosac napona, drzac kosog polozaja,regulatori...
5675;tastature rac., zvucnici,racunari...
5712;ampermetri
3513;lanci u sklopu sa drugim delovima
52355;topljivi osiguraci
3915;okov-ostalo
399;gotova roba-nerazjasnjenja
7529;smese za zaptivanje ostalo
499;nemetali ostalo-nerazjasnjeno
5523;pribor za merace,pret.uredj.iuredj.za napajanje
18823;ESAB SPREJ
5679;softveri
5676;operatvni paneli i sl..
595;razni mas. delovi za ELEKTRO uredjaje
5951;delovi za IPSEN pec
4357;proizvodi od sundjera
5952;merne letve,ploce ... za ELEKTRO
5291;stubovi,konzole,ucvrsci,energ.lanci...
5689;RAZNI ELEKTRONSKI DELOVI ZA APARATE
3729;razni got.delovi i sklopovi za ugradnju
4271;kape plasticne za vijke
4272;umetci plasticni
4273;tipli plasticni
4279;komponente plasticne ostalo(oznake,         )
352;navrtka zatezna
6322;sapuni
4913;cement,pesak...
3228;plocica-podlozni prsten
7911;ostali hem. proizvodi
