MBKOM;NAKOM;SNKOM;RBGR;ADKOM
0149018;AUTOSAOBRACAJ;AUTOSAOBRACAJ;01255;
8053910;LIVNICA;LIVNICA;01132;
7150911;UNIOR-AD KRA 160-2222-06;UNIOR;01255;
7134207;ZAPADNO POLJE;POLJE;01371;
6703666;KVARC;KVARC;01673;
6701647;JEDINSTVO;JEDINSTVO;01673;
6711529;AUTOCOBEST MLADE 160-323893-46;AUTOCOBEST;01673;
6200117;ZETATRANS;ZETATRANS;01757;
6980490;IMP ETA;IMP;00159;
8050074;NIS A.D. 355-1038338-75:;NIS;01796;Narodnog fronta 12
7173547;VULKAN;VULKAN;01759;
6801234;TEHNOMETAL;TEHNOMETAL;01796;
8033846;AGROVOJVODINA MASINOALAT;MASINOALAT;01796;
6801277;AGROVOJVODINA METALURGIJA;METALUR;01796;
7238207;OMLADINSKA ZADRUGA JASENICA;OML ZAD JASENICA;02450;
6999913;PREVOZ;PREVOZ;02450;
6704514;FABRIKA OBOJENIH METALA;METAL;02162;
6024122;FABRIKA ELEKTRODE;FABRIKA ELEKTRODE;02011;
7163835;GRAND PROM KISELJ 205-124171-55;GRAND;02450;
7163924;LITOS;LITOS;02098;
7210434;FABRIKA AUTOMOBILA;AUTOMOBILI;02135;
3229254;ULJANIK;ULJANIK;02177;
6709109;NARODNA BANKA SRB;BANKA;02450;
6993753;ELEKTRON;ELEKTRON;02450;
7142854;ETPLAST;ETPLAST;02450;
7198507;AMS AUTO CENTAR JASENICA D.O.O.;AMS;02450;GLAVASEVA 87
7319937;STAMBENA ZADRUGA;STAMBENA;02450;
7586825;GOSA STAN;GOSA STAN;02450;
6993737;VETERINARSKA STANICA;STANICA;02450;
7198469;UTRO;UTRO;02450;
6019692;PALTRANS;PALTRANS;02450;
7163339;KINGSP0AN 115-24031-42;KINGSPAN;00159;
6703771;TEHNOGRADNJA;TEHNOGRADNJA;02450;
9017577;EXSIMKOS;EXIMKOS;02155;
7244479;DRUSTVENI FOND;DRUSTVENI FOND;02450;
6021107;SOLIDNOST;SOLIDNOST;02450;
7164297;MIKULJA;MIKULJA;02450;
6704964;BUCET -OPSTINA;BUCET OPSTINA;02450;
7198752;ZOIL DUNAV;ZOIL DUNAV;02450;
7199287;10 OKTOBAR;10 OKTOBAR;02450;
6009967;GEOFON;GEOFON;02722;
8061238;UTVA;UTVA;01927;
7048521;STANDARDTRANS;STANDARD;01930;
7113749;IZOLMA;IZOLMA;02188;
6003397;ZAVOD ZA ORTOPEDIJU;ORTOPEDIJA;02277;
7159498;AUTOTRANSPORT;AUTOTRANSPORT;02449;
6991486;BOJANKOMERC;BOJANKOMERC;02449;
7143702;FABRIKA ODLIVAKA;FAB ODLIVAKA;02449;
7163070;DUNAV AGRAR BEOGRAD 205-1152-27;DUNAV;00159;
7222211;MILAN BLAGOJEVIC;MILAN;02449;
7265174;FABRIKA KOMPRESORA;KOMPRESOR;02449;
7143753;FAGRAM;FAGRAM;02449;
7246927;HBIS GROUP;HBIS;02449;Bulevar Mihajla PUPINA 6
7141157;METALSERVIS;METALSER;02449;
6400710;ZELEZNICKI TRANSPORT;NRANSPOR;02419;
6100252;INTERSPED;INTERSPED;02351;
7124104;8 OKTOBAR;OKTOBAR;02620;
6021492;GALVANOMETAL;GALVANOMETAL;02512;
7584563;MKS STARA ZELEZARA;MKS;02449;
7033656;ROPOCEVO;ROPOCEVO;02471;
6800068;SEVER KOMERC;SEVER KO;02586;
