SM;SIFRA_M;NAZIV_M;DIMENZIJA;KVALITET;STANDARD;JM;KONTO;POCST_K;POCST_V;ULAZK;ULAZ_V;IZLAZK;IZLAZ_V;STANJE_K;STANJE_V;CENA;KOLICINA;VREDNOST
98;171702275;CAURA;30285-07-05-03;;;kom;101000;0;0;2;21800;2;21800;0;0;0;0;0
98;171702298;CAURA;fi125/95/40x95/25;CUSN14;;kom;101000;0;0;2;33000;2;33000;0;0;0;0;0
98;171702305;CAURA;30309-14-05-32-02;PCUSN10PB5;;kom;101000;0;0;6;38400;6;38400;0;0;0;0;0
98;171702317;CAURA;2270.03.07.;CUAL9NI;;kom;101000;0;0;24;3408000;8;1136000;16;2272000;142000;16;2272000
98;171702318;PODLOSKA;2270.04.06;CUAL9NI;;kom;101000;0;0;24;628000;8;204000;16;424000;26500;16;424000
98;171702319;CAURA;2270.04.05;CUAL9NI;;kom;101000;0;0;24;1272000;8;424000;16;848000;53000;16;848000
98;171702320;CAURA;2270.06.05;CUAL9NI;;kom;101000;0;0;288;4819200;96;1651200;192;3168000;16500;192;3168000
98;171702321;CAURA;2270.06.07;CUAL9NI;;kom;101000;0;0;48;1416000;48;1416000;0;0;0;0;0
98;171702322;CAURA;2270.10.04;CUAL9NI;;kom;101000;0;0;8;284000;8;284000;0;0;0;0;0
98;171702395;CAURA;30065-09-29-02;LMC582-2;;kom;101000;0;0;2;11800;2;11800;0;0;0;0;0
98;171702399;CAURA;60x1000;MS58;;kom;101000;0;0;6;195600;6;195600;0;0;0;0;0
98;171702411;CAURA-KLIZNI;30353-07-02-02;;;kom;101000;0;0;2;116000;2;116000;0;0;0;0;0
98;171702415;CAURA;R-2827.04.01.01.02;;;kom;101000;2;12400;0;0;2;12400;0;0;0;0;0
98;171702416;CAURA;R-2827-06-02;;;kom;101000;2;22400;0;0;2;22400;0;0;0;0;0
98;171702420;ZGLOB;25158-212-09-05-03;;;kom;101000;40;122000;0;0;40;122000;0;0;0;0;0
98;171702422;CAURA;25160-114-08-04;PCUSN14;;kom;101000;8;22400;0;0;0;0;8;22400;2800;8;22400
98;171702423;CAURA;30055-17-02-06;;;kom;101000;0;0;9;37800;9;37800;0;0;0;0;0
98;171702426;BRONZA;25120-200-32-03;;;kom;101000;4;27200;0;0;0;0;4;27200;6800;4;27200
98;171702428;CAURA;25120-202-04-08:1;;;kom;101000;16;102400;0;0;16;102400;0;0;0;0;0
98;171702435;CAURA;30385-03-06-01-13;;;kom;101000;0;0;2;25000;2;25000;0;0;0;0;0
98;171702446;CAURA;30385-16-02-05;;;kom;101000;0;0;8;67200;4;33600;4;33600;8400;4;33600
98;171702472;NAVRTKA;25120-202-04:14L;;;kom;101000;8;190400;0;0;8;190400;0;0;0;0;0
98;171702473;NAVRTKA;25120-202-04:14D;;;kom;101000;8;190400;0;0;8;190400;0;0;0;0;0
98;171702474;CAURA;25168-102-01-04-02;;;kom;101000;18;462600;0;0;18;462600;0;0;0;0;0
98;171702475;PLOCICA;25168-102-01-04-07;;;kom;101000;18;111600;0;0;18;111600;0;0;0;0;0
98;171702476;CAURA;25168-102-02-03-02;;;kom;101000;6;89400;0;0;6;89400;0;0;0;0;0
98;171702477;LEZISTE;25168-102-02-03-03;;;kom;101000;8;164000;0;0;5;102500;3;61500;20500;3;61500
98;171702480;ODLIVAK;25168-309-01-04;;;kom;101000;2;216000;0;0;2;216000;0;0;0;0;0
98;171702485;CAURA;25168-101-01-06-09-02;;;kom;101000;2;29800;0;0;1;14900;1;14900;14900;1;14900
98;171702486;CAURA;25168-101-01-06-09-03;;;kom;101000;2;29800;0;0;1;14900;1;14900;14900;1;14900
98;171702487;CAURA;25168-101-01-06-11-02;;;kom;101000;2;33000;0;0;2;33000;0;0;0;0;0
98;171702490;CAURA;25168-102-02-02;;;kom;101000;22;327800;0;0;22;327800;0;0;0;0;0
98;171702495;CAURA;25168-308-03;;;kom;101000;2;44000;0;0;2;44000;0;0;0;0;0
98;171702496;CAURA;25168-308-04;;;kom;101000;2;32400;0;0;2;32400;0;0;0;0;0
98;171702497;CAURA;25168-308-05;;;kom;101000;2;53600;0;0;2;53600;0;0;0;0;0
98;171702499;PRSTEN;fi 200/157x8;;;kom;101000;4;11600;0;0;4;11600;0;0;0;0;0
98;171702501;CAURA;25168-305-03;;;kom;101000;8;174400;0;0;8;174400;0;0;0;0;0
98;171702503;CAURA;25169-205-02;;;kom;101000;4;59600;0;0;4;59600;0;0;0;0;0
98;171702504;CAURA;25169-201-02-02;;;kom;101000;4;66000;0;0;4;66000;0;0;0;0;0
98;171702505;CAURA;R.2827.04.01.01.02;;;kom;101000;2;12600;0;0;2;12600;0;0;0;0;0
98;171702506;CAURA;R.2827.06.02;;;kom;101000;2;21000;0;0;2;21000;0;0;0;0;0
98;171702507;CAURA;25169-205-02;;;kom;101000;4;59600;0;0;4;59600;0;0;0;0;0
98;171702508;CAURA;25169.107.01.02;;;kom;101000;2;34000;0;0;2;34000;0;0;0;0;0
98;171702509;CAURA;25169-101-01-07-01-04;;;kom;101000;2;46400;0;0;2;46400;0;0;0;0;0
98;171702510;CAURA;25169-101-01-04-02;;;kom;101000;2;29800;0;0;2;29800;0;0;0;0;0
98;171702511;CAURA;25169-102-04-02;;;kom;101000;2;44000;0;0;2;44000;0;0;0;0;0
98;171702512;CAURA;25169-102-04-03;;;kom;101000;2;32400;0;0;2;32400;0;0;0;0;0
98;171702513;CAURA;25169-102-04-06;;;kom;101000;2;46000;0;0;2;46000;0;0;0;0;0
98;171702514;CAURA;25169-102-04-02;;;kom;101000;1;22000;0;0;1;22000;0;0;0;0;0
98;171702515;CAURA;25169-102-04-03;;;kom;101000;1;16200;0;0;1;16200;0;0;0;0;0
98;171702516;CAURA;25168-304-06-03;;;kom;101000;2;6300;0;0;2;6300;0;0;0;0;0
98;171702517;CAURA;25168-304-06-06;;;kom;101000;2;6200;0;0;2;6200;0;0;0;0;0
98;171702519;CAURA;30370-01-02-04-02;;;kom;101000;8;136800;0;0;8;136800;0;0;0;0;0
98;171702520;CAURA;30054-06-01-40;;;kom;101000;2;33000;0;0;2;33000;0;0;0;0;0
98;171702521;CAURA;30054-03-02-03-05;;;kom;101000;4;11200;1;2800;5;14000;0;0;0;0;0
98;171702522;CAURA;30054-06-06-03-03A;;;kom;101000;4;46000;0;0;4;46000;0;0;0;0;0
98;171702523;CAURA;30054-06-07-07;;;kom;101000;4;70000;0;0;4;70000;0;0;0;0;0
98;171702524;KL.LEZAJ;30056-08-01-02-07;;;kom;101000;0;0;2;29800;2;29800;0;0;0;0;0
98;171702525;KL.LEZAJ;30056-08-03-04;;;kom;101000;0;0;2;66000;2;66000;0;0;0;0;0
98;171702526;CAURA;30369-04-05-04;;;kom;101000;0;0;2;29800;2;29800;0;0;0;0;0
98;171702527;CAURA;30056-04-06-02;;;kom;101000;0;0;4;79200;4;79200;0;0;0;0;0
98;171702528;KL.LEZAJ;30056-04-07-02-03/R;;;kom;101000;0;0;4;26000;4;26000;0;0;0;0;0
98;171702529;CAURA;30309-14-04-02-02;;;kom;101000;0;0;3;16800;3;16800;0;0;0;0;0
98;171702530;CAURA;30055-08-03-02-07;;;kom;101000;0;0;6;31200;6;31200;0;0;0;0;0
98;171702531;CAURA;30055-17-02-03;;;kom;101000;0;0;9;44100;9;44100;0;0;0;0;0
98;171702532;KL.LEZAJ;30369-12-02-01-12;;;kom;101000;0;0;2;11600;2;11600;0;0;0;0;0
98;171702533;KL.LEZAJ;30369-12-04-07;;;kom;101000;0;0;2;7400;2;7400;0;0;0;0;0
98;171702534;NAVRTKA;30369-12-06-19G;;;kom;101000;0;0;1;35000;1;35000;0;0;0;0;0
98;171702535;CAURA;30054-03-02-02-28;;;kom;101000;0;0;4;33000;4;33000;0;0;0;0;0
98;171702536;CAURA;30367-09-05-03;;;kom;101000;0;0;2;25800;2;25800;0;0;0;0;0
98;171702537;CAURA;30369-02-02-01-06-07;;;kom;101000;0;0;8;20000;8;20000;0;0;0;0;0
98;171702538;DIST.CAURA;30367-03-04-04;;;kom;101000;0;0;4;12000;4;12000;0;0;0;0;0
98;171702539;DIST.CAURA;30056-05-02-01-08-10;;;kom;101000;0;0;8;15200;8;15200;0;0;0;0;0
98;171702540;DIST.CAURA;30056-05-02-01-08-20C;;;kom;101000;0;0;8;14400;8;14400;0;0;0;0;0
98;171702541;CAURA;30284-04-03-02;;;kom;101000;0;0;36;147600;36;147600;0;0;0;0;0
98;171702542;KL.LEZAJ;30054-05-06-01-03/R;;;kom;101000;0;0;4;27600;4;27600;0;0;0;0;0
98;171702543;CAURA;fi145/130x40;;;kom;101000;0;0;2;9800;2;9800;0;0;0;0;0
98;171702544;SAM-CAURA;30063-09-01-05-03;;;kom;101000;0;0;4;34000;4;34000;0;0;0;0;0
98;171702545;CAURA;30369-02-04-01-08;CUAL10NI3;;kom;101000;0;0;4;43200;4;43200;0;0;0;0;0
98;171702546;CAURA;30369-19-01-08;CUAL10NI3;;kom;101000;0;0;4;37600;4;37600;0;0;0;0;0
98;171702547;CAURA;30063-14-02-03-04;LMCS58-22;;kom;101000;0;0;2;15600;2;15600;0;0;0;0;0
98;171702548;CAURA;30054-14-05-04A;;;kom;101000;0;0;2;14800;2;14800;0;0;0;0;0
98;171702549;CAURA;30368-17-01-01-06;PCPB5SN;;kom;101000;0;0;12;249600;12;249600;0;0;0;0;0
98;171702550;CAURA;30368-17-01-02-07-02;;;kom;101000;0;0;12;1038000;12;1038000;0;0;0;0;0
98;171702551;CAURA;30054-11-06-03;;;kom;101000;0;0;2;7600;2;7600;0;0;0;0;0
98;171702552;CAURA;150/30x120;;;kom;101000;0;0;2;117400;2;117400;0;0;0;0;0
98;171702553;CAURA;100/30x60;;;kom;101000;0;0;2;29000;2;29000;0;0;0;0;0
98;171702554;TULJAK;fi 60x150;;;kom;101000;0;0;1;1414968;1;1414968;0;0;0;0;0
98;171702555;CAURA;51023-46-026;CUSN12;;kom;101000;0;0;1;12400;1;12400;0;0;0;0;0
98;171702556;BRONZA;fi120x160;PCUSN14;;kom;101000;0;0;2;98800;2;98800;0;0;0;0;0
98;171702557;CAURA;fi102/fi48x225;C.CUSN14;;kom;101000;0;0;4;158800;4;158800;0;0;0;0;0
98;171702559;KLIZNI LEZAJ;30372-13-02-02-06;PCUSN14;;kom;101000;0;0;2;18800;0;0;2;18800;9400;2;18800
98;171702560;CAURA;30372-13-01-02-06;PCUSN14;;kom;101000;0;0;2;29600;0;0;2;29600;14800;2;29600
98;171702561;CAURA;25177-101-06-02;;;kom;101000;0;0;3;996000;0;0;3;996000;332000;3;996000
98;171702562;CAURA;25177-101-07-03;;;kom;101000;0;0;6;681000;0;0;6;681000;113500;6;681000
98;171702563;CAURA;25177-101-07-05;;;kom;101000;0;0;6;147000;0;0;6;147000;24500;6;147000
98;171702564;CAURA;25177-101-04-03;;;kom;101000;0;0;12;1996800;0;0;12;1996800;166400;12;1996800
98;171702565;LAVIRINT;25177-10-03-05;CUALFE5NI5;;kom;101000;0;0;72;1605600;0;0;72;1605600;22300;72;1605600
98;171702566;CAURA;25177-101-03-06;;;kom;101000;0;0;72;2196000;0;0;72;2196000;30500;72;2196000
98;171702567;CAURA;25177-101-03-07;;;kom;101000;0;0;36;2014200;0;0;36;2014200;55950;36;2014200
98;171702568;LAVIRINT;25177-101-10-02;;;kom;101000;0;0;32;476800;0;0;32;476800;14900;32;476800
98;171702569;CAURA;25177-101-10-05;;;kom;101000;0;0;32;297600;0;0;32;297600;9300;32;297600
98;171702570;KL.LEZAJ;51022-10-010;CUSN14;;kom;101000;0;0;4;8800;4;8800;0;0;0;0;0
98;171702571;KL.LEZAJ;51022-10-011;;;kom;101000;0;0;4;6000;4;6000;0;0;0;0;0
98;171702572;PODLOSKA;31022-10-017;;;kom;101000;0;0;4;5200;4;5200;0;0;0;0;0
98;172100064;OTKOVAK;30054-06-04-02-06R/1;;;kom;101010;0;0;1;877336.01;1;877336.01;0;0;0;0;0
98;172100073;OTKOVAK;51021-63-015/10;34CRMO4 N;;kom;101010;12;4669080.65;0;0;12;4669080.65;0;0;0;0;0
98;172100074;OTKOVAK;51021-62-022/10;;;kom;101010;6;1678112.95;0;0;0;0;6;1678112.95;279685.49;6;1678112.95
98;172100075;OTKOVAK;51021-63-011/10;;;kom;101010;12;3162110.56;0;0;6;1581055.28;6;1581055.28;263509.21;6;1581055.28
98;172100076;OTKOVAK;51021-63-007/10;;;kom;101010;12;1634507.34;0;0;6;817253.67;6;817253.67;136208.95;6;817253.67
98;172100077;OTKOVAK;51021-63-013/10;34CRMO4 V;;kom;101010;12;3368207.3;0;0;6;1684103.65;6;1684103.65;280683.94;6;1684103.65
98;172100094;VENAC;51021-88-011/10;30CRNIM08;;kom;101010;0;0;6;1335871.37;6;1335871.37;0;0;0;0;0
98;172100095;VENAC;51021-88-013/10;42CRMO4;;kom;101010;0;0;6;1192440.97;6;1192440.97;0;0;0;0;0
98;172100096;VENAC;51021-88-015/10;42CRMO4;;kom;101010;0;0;6;1901155.88;6;1901155.88;0;0;0;0;0
98;172100097;VENAC;51021-88-007/10;42CRMO4;;kom;101010;0;0;6;549816.53;6;549816.53;0;0;0;0;0
98;172100098;SUPLJE VRATI;51021-88-004/10;42CRMO4;;kom;101010;0;0;12;1293678.25;6;647133.33;6;646544.92;107757.49;6;646544.92
98;172100111;OTKOVAK;50022.08.008/10;16MNCR5;;kom;101010;0;0;12;6122355.54;0;0;12;6122355.54;510196.29;12;6122355.54
98;172100149;VENAC;51021-08-018/10;C45N;;kom;101010;0;0;1;312978.59;1;312978.59;0;0;0;0;0
98;172100151;VENAC;51021-08-011/10;42CRMO4;;kom;101010;0;0;1;309033.49;1;309033.49;0;0;0;0;0
98;172100152;PRIRUBNICA;51021-08-021/10;25CRMO4;;kom;101010;0;0;1;612149.31;1;612149.31;0;0;0;0;0
98;172100153;VENAC;51021-08-185/10;42CRMO4;;kom;101010;0;0;1;406346.16;1;406346.16;0;0;0;0;0
98;172100248;OTKOVAK;51021-63.A22/10;;;kom;101010;6;832017.63;0;0;3;416008.82;3;416008.81;138669.6;3;416008.81
98;172100257;OTKOVAK;51021-62-013/10;;;kom;101010;6;455749.03;0;0;0;0;6;455749.03;75958.17;6;455749.03
98;172100266;OTKOVAK;51021-62-021/10;;;kom;101010;6;1477667.77;0;0;0;0;6;1477667.77;246277.96;6;1477667.77
98;172100267;OTKOVAK;51021-71-A10/10;;;kom;101010;0;0;1;169902.67;1;169902.67;0;0;0;0;0
98;172100269;OTKOVAK;51021-71-191A/10;;;kom;101010;0;0;1;195545.86;1;195545.86;0;0;0;0;0
98;172100270;OTKOVAK;52231-02-001/10 fi670/;;;kom;101010;0;0;2;897157.44;2;897157.44;0;0;0;0;0
98;172100274;OTKOVAK;50021.67.007/10     02;;;kom;101010;0;0;1;405847.44;1;405847.44;0;0;0;0;0
98;172100275;OTKOVAK;50021.67.006/10;;;kom;101010;0;0;1;301486.67;1;301486.67;0;0;0;0;0
98;172100301;OTKOVAK;53ZST-11-003/20;42CRMO4;;kom;101010;0;0;2;349106.65;2;349106.65;0;0;0;0;0
98;172100311;OTKOVAK;50021-81-A07/10;42CRMO4V;;kom;101010;0;0;1;251404.5;0;0;1;251404.5;251404.5;1;251404.5
98;172100313;OTKOVAK;50021-83-006/10;C.4520;;kom;101010;0;0;1;456614.36;0;0;1;456614.36;456614.36;1;456614.36
98;172100314;OTKOVAK;50021-83-A07/10;C.4732;;kom;101010;0;0;1;411399.82;0;0;1;411399.82;411399.82;1;411399.82
98;172100316;OTKOVAK;51021-62-017/10;;;kom;101010;6;820066.93;0;0;0;0;6;820066.93;136677.82;6;820066.93
98;172100322;OTKOVAK;50023-12-007/10;;;kom;101010;0;0;2;1100889.53;0;0;2;1100889.53;550444.77;2;1100889.53
98;172100324;OTKOVAK;50022-94-009/10;42CRMO4+QT;;kom;101010;18;19731668.49;10;10106490.79;6;6577222.83;22;23260936.45;1057315.29;22;23260936.45
