MBRD;UKKONTR;M_G;SSZNE;SIZNE;SIZN;SSNNE;SINNE;IZNETO;IZBRUTO;POREZ1;POREZ2;IZBRPR;IZBRBOL;SID;SIDBOL;SIPPR;SIPBOL;SIP;POSPOR;SIP_D;SIOB;IZNETO2;OLAKSICA;EFSATI;AKONT;NEAK;AK;NRAKON;VAKON;UKNETO;ZARKR;KOEF;RBTC;RBIM;UKIS;UKSIOB;UKZARKR;UKAKONT;UKNRAKON;UKVAKON;DEO1;REC;HKMB;RBPS;IZBRBO1;SIN;RAD2;RAD3;RAD4;UKUPNO;ISPLATA;VISP;MINIM;OSNOV;DEOIM;PRIZ;PRCAS;IZN2;BROJ;MRBTC;POROSL;GOD_30;GOD_50;NETO;BROSN;PIOR;ZDRR;ONEZR;PIOP;ZDRP;ONEZP;SOP;DBEN;EFIZNO;BMIN;UKUPNO1;PIOR1;ZDRR1;ONEZR1;PIOP1;ZDRP1;ONEZP1;BROSN1;POROSL1;SIP1;IZNETO1;N
0003789;;0124;207.0;105939.50;;0.0;0.00;105939.50;105939.50;;0.00;105939.50;;21081.96;0.00;8093.95;0.00;8093.95;0.00;;767.64;0.00;367.21;104.00;10000.00;0.00;;0.00;0.00;;2148.00;;33100000;920;63847.950;767.640;2148.000;10000.000;0.000;0.000;;1;0005370;06;0.00;0.00;1;0;0;105939.50;;;414.65;76012.12;;65878.01;127.0;;;;25000.00;0.00;0.00;76763.59;105939.50;14831.53;5455.88;794.55;10593.95;5455.88;0.00;093;;;;;5620.02;2067.36;301.07;4014.30;2067.36;0.00;40143.00;17500.00;54.27;18042.73;
0003871;;0124;0.0;0.00;;0.0;0.00;0.00;0.00;;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;367.21;0.00;0.00;0.00;;0.00;0.00;;0.00;;32230000;930;0.000;0.000;0.000;0.000;0.000;0.000;;1;0001634;03;0.00;0.00;1;0;0;0.00;;;0.00;0.00;;0.00;0.0;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;109;;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
0003981;;0124;254.0;157685.52;;0.0;0.00;157685.52;157685.52;;0.00;157685.52;;31379.42;0.00;13268.55;0.00;13268.55;0.00;;1133.64;0.00;367.21;184.00;10000.00;0.00;;0.00;0.00;;7162.00;;32340000;997;94741.910;1133.640;7162.000;10000.000;0.000;0.000;;1;0001667;03;0.00;0.00;1;0;0;157685.52;;;470.28;93270.91;;128895.99;230.0;;;;25000.00;0.00;0.00;113037.55;157685.52;22075.97;8120.80;1182.64;15768.55;8120.80;0.00;093;;;;;5620.02;2067.36;301.07;4014.30;2067.36;0.00;40143.00;17500.00;54.27;18042.73;
0004013;;0124;226.0;123149.01;;0.0;0.00;123149.01;123149.01;;0.00;123149.01;;24506.65;0.00;9814.90;0.00;9814.90;0.00;;888.28;0.00;385.57;160.00;10000.00;0.00;;0.00;0.00;;10836.95;;32210000;930;67102.230;888.280;10836.950;10000.000;0.000;0.000;;1;0001675;06;0.00;0.00;1;0;0;123149.01;;;427.70;82989.08;;99967.44;202.0;;;;25000.00;0.00;0.00;88827.46;123149.01;17240.86;6342.17;923.62;12314.90;6342.17;0.00;093;;;;;5620.02;2067.36;301.07;4014.30;2067.36;0.00;40143.00;17500.00;54.27;18042.73;
0004021;;0124;184.0;63670.90;;0.0;0.00;78562.02;78562.02;;0.00;78562.02;;15633.84;0.00;5356.20;0.00;5356.20;0.00;;575.72;0.00;367.21;160.00;10000.00;0.00;;0.00;0.00;;16324.22;;10000000;930;30672.040;575.720;16324.220;10000.000;0.000;0.000;;1;0001677;08;78562.02;0.00;0;1;0;78562.02;;;286.28;67566.33;;48022.55;160.0;;;;25000.00;0.00;0.00;57571.98;78562.02;10998.68;4045.94;589.22;7856.20;4045.94;0.00;093;;;;;5620.02;2067.36;301.07;4014.30;2067.36;0.00;40143.00;17500.00;54.27;18042.73;
0004026;;0124;202.0;112503.18;;0.0;0.00;112503.18;112503.18;;0.00;112503.18;;22388.13;0.00;8750.32;0.00;8750.32;0.00;;0.00;0.00;367.21;160.00;10000.00;0.00;;0.00;0.00;;23295.00;;30000000;910;48069.730;0.000;23295.000;10000.000;0.000;0.000;;1;0001678;06;0.00;0.00;1;0;0;112503.18;;;457.75;74176.08;;88162.75;178.0;;;;25000.00;0.00;0.00;81364.73;112503.18;15750.45;5793.91;843.77;11250.32;5793.91;0.00;093;;;;;5620.02;2067.36;301.07;4014.30;2067.36;0.00;40143.00;17500.00;54.27;18042.73;
0004074;;0124;126.0;72881.82;;72.0;27884.04;100765.86;100765.86;;0.00;100765.86;;20052.41;0.00;7576.59;0.00;7576.59;0.00;;0.00;0.00;367.21;88.00;10000.00;0.00;;0.00;0.00;;0.00;;32290000;920;63136.860;0.000;0.000;10000.000;0.000;0.000;;1;0001689;04;0.00;0.00;1;0;0;100765.86;;;406.85;46268.25;;50458.60;102.0;;;;25000.00;0.00;0.00;73136.86;100765.86;14107.22;5189.44;755.74;10076.59;5189.44;0.00;093;;;;;5620.02;2067.36;301.07;4014.30;2067.36;0.00;40143.00;17500.00;54.27;18042.73;
0004086;;0124;235.0;161818.05;;24.0;12199.16;174017.21;174017.21;;0.00;174017.21;;34629.42;0.00;14901.72;0.00;14901.72;0.00;;0.00;0.00;367.21;136.00;10000.00;0.00;;0.00;0.00;;18564.12;;41000000;930;95921.950;0.000;18564.120;10000.000;0.000;0.000;;1;0001507;06;0.00;0.00;1;0;0;174017.21;;;532.96;86293.95;;133928.47;211.0;;;;25000.00;0.00;0.00;124486.07;174017.21;24362.41;8961.89;1305.13;17401.72;8961.89;0.00;093;;;;;5620.02;2067.36;301.07;4014.30;2067.36;0.00;40143.00;17500.00;54.27;18042.73;
0004137;;0124;0.0;0.00;;0.0;0.00;0.00;0.00;;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;367.21;0.00;0.00;0.00;;0.00;0.00;;0.00;;32260000;930;0.000;0.000;0.000;0.000;0.000;0.000;;1;0001705;03;0.00;0.00;1;0;0;0.00;;;0.00;0.00;;0.00;0.0;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;093;;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
0004139;;0124;227.0;128026.47;;0.0;0.00;128026.47;128026.47;;0.00;128026.47;;25477.27;0.00;10302.65;0.00;10302.65;0.00;;0.00;0.00;385.57;160.00;10000.00;0.00;;0.00;0.00;;0.00;;32260000;997;82246.550;0.000;0.000;10000.000;0.000;0.000;;1;0001706;04;0.00;0.00;1;0;0;128026.47;;;456.93;83356.29;;104134.80;203.0;;;;25000.00;0.00;0.00;92246.55;128026.47;17923.71;6593.36;960.20;12802.65;6593.36;0.00;109;;;;;5620.02;2067.36;301.07;4014.30;2067.36;0.00;40143.00;17500.00;54.27;18042.73;
0004162;;0124;204.0;119636.09;;8.0;3413.59;123049.68;123049.68;;0.00;123049.68;;24486.89;0.00;9804.97;0.00;9804.97;0.00;;888.12;0.00;367.21;156.00;10000.00;0.00;;0.00;0.00;;3710.06;;32330000;980;74159.640;888.120;3710.060;10000.000;0.000;0.000;;1;0001715;03;0.00;0.00;1;0;0;123049.68;;;427.94;74910.50;;94796.45;180.0;;;;25000.00;0.00;0.00;88757.82;123049.68;17226.96;6337.06;922.87;12304.97;6337.06;0.00;093;;;;;5620.02;2067.36;301.07;4014.30;2067.36;0.00;40143.00;17500.00;54.27;18042.73;
0004166;;0124;184.0;87587.16;;0.0;0.00;87587.16;87587.16;;0.00;87587.16;;17429.84;0.00;6258.72;0.00;6258.72;0.00;;638.99;0.00;367.21;160.00;10000.00;0.00;;0.00;0.00;;37381.76;;31300000;910;15877.850;638.990;37381.760;10000.000;0.000;0.000;;1;0001718;06;0.00;0.00;1;0;0;87587.16;;;399.71;67566.33;;67188.41;160.0;;;;25000.00;0.00;0.00;63898.60;87587.16;12262.20;4510.74;656.90;8758.72;4510.74;0.00;093;;;;;5620.02;2067.36;301.07;4014.30;2067.36;0.00;40143.00;17500.00;54.27;18042.73;
0004202;;0124;184.0;63462.26;;0.0;0.00;78351.54;78351.54;;0.00;78351.54;;15591.96;0.00;5335.15;0.00;5335.15;0.00;;574.24;0.00;367.21;160.00;10000.00;0.00;;0.00;0.00;;150.00;;10000000;930;46700.190;574.240;150.000;10000.000;0.000;0.000;;1;0001727;08;78351.54;0.00;0;1;0;78351.54;;;286.29;67566.33;;48022.55;160.0;;;;25000.00;0.00;0.00;57424.43;78351.54;10969.22;4035.10;587.64;7835.15;4035.10;0.00;093;;;;;5620.02;2067.36;301.07;4014.30;2067.36;0.00;40143.00;17500.00;54.27;18042.73;
0004208;;0124;184.0;95185.21;;0.0;0.00;95185.21;95185.21;;0.00;95185.21;;18941.86;0.00;7018.52;0.00;7018.52;0.00;;0.00;0.00;367.21;160.00;10000.00;0.00;;0.00;0.00;;3257.00;;32250000;920;55967.830;0.000;3257.000;10000.000;0.000;0.000;;1;0001729;03;0.00;0.00;1;0;0;95185.21;;;435.43;67566.33;;73672.65;160.0;;;;25000.00;0.00;0.00;69224.83;95185.21;13325.93;4902.04;713.89;9518.52;4902.04;0.00;093;;;;;5620.02;2067.36;301.07;4014.30;2067.36;0.00;40143.00;17500.00;54.27;18042.73;
0004221;;0124;197.0;125208.06;;0.0;0.00;125208.06;125208.06;;0.00;125208.06;;24916.40;0.00;10020.81;0.00;10020.81;0.00;;902.71;0.00;385.57;160.00;10000.00;0.00;;0.00;0.00;;2088.00;;22200000;930;77280.140;902.710;2088.000;10000.000;0.000;0.000;;1;0001734;06;0.00;0.00;1;0;0;125208.06;;;529.84;72340.04;;98061.77;173.0;;;;25000.00;0.00;0.00;90270.85;125208.06;17529.13;6448.22;939.06;12520.81;6448.22;0.00;093;;;;;5620.02;2067.36;301.07;4014.30;2067.36;0.00;40143.00;17500.00;54.27;18042.73;
