MBRD,RBVP,SLOV,SATI,IZNO,PERC,KOEF,RJ,BRIG,POK2,RBTC,KONT,RBKO
0004905,023,O,2,,,75362.05,300,00000,G,22300000,,
0004905,019,L,182,,,75362.05,300,00000,I,22300000,,
0004912,001,A,140,,,68229.39,300,00000,G,22300000,,
0004912,023,O,4,,,68229.39,300,00000,G,22300000,,
0004912,012,C,40,,,68229.39,300,00000,G,22300000,,
0004912,019,L,140,,,68229.39,300,00000,I,22300000,,
0004934,001,A,144,,,79641.65,300,00000,G,22300000,,
0004934,023,O,7,,,79641.65,300,00000,G,22300000,,
0004934,012,C,40,,,79641.65,300,00000,G,22300000,,
0004934,019,L,137,,,79641.65,300,00000,I,22300000,,
0005519,001,A,184,0,0,65091.01,300,00000,G,22300000,,
0005538,001,A,183,,,71082.45,300,00000,G,22300000,,
0005538,025,O,1,,,71082.45,300,00000,K,22300000,,
0005538,019,L,183,,,71082.45,300,00000,I,22300000,,
0005624,001,A,181,,,82494.72,300,00000,G,22300000,,
0005624,002,G,6,,,82494.72,300,00000,K,22300000,,
0005624,025,O,3,,,82494.72,300,00000,K,22300000,,
0005624,019,L,187,,,82494.72,300,00000,I,22300000,,
0006236,001,A,184,,,97104.14,300,00000,G,22300000,,
0006236,002,G,24,,,97104.14,300,00000,K,22300000,,
0006236,019,L,184,,,97104.14,300,00000,I,22300000,,
0006668,001,A,184,,,82494.72,300,00000,G,22300000,,
0006668,002,G,15,,,82494.72,300,00000,K,22300000,,
0006668,019,L,194,,,82494.72,300,00000,I,22300000,,
0010278,001,A,184,,,132423.4,300,00000,G,22300000,,
0010278,002,G,22,,,132423.4,300,00000,K,22300000,,
0010278,019,L,206,,,132423.4,300,00000,I,22300000,,
0004791,001,A,184,,,76788.59,500,00000,G,23200000,,
0004791,019,L,184,,,76788.59,500,00000,I,23200000,,
0004846,001,A,104,,,76788.59,500,00000,G,23200000,,
0004846,002,G,18,,,76788.59,500,00000,K,23200000,,
0004846,007,E,122,,,76788.59,500,00000,K,23200000,,
0004846,009,O,80,,,76788.59,500,00000,G,23200000,,
0004846,019,L,122,,,76788.59,500,00000,I,23200000,,
0005189,001,A,184,,,72508.99,500,00000,G,23200000,,
0005189,002,G,42,,,72508.99,500,00000,K,23200000,,
0005189,019,L,226,,,72508.99,500,00000,I,23200000,,
0005224,001,A,184,,,69655.92,500,00000,G,23200000,,
0005224,019,L,184,,,69655.92,500,00000,I,23200000,,
0005565,001,A,184,,,76788.59,900,00000,G,23200000,,
0005565,002,G,20,,,76788.59,900,00000,K,23200000,,
0005565,019,L,204,,,76788.59,900,00000,I,23200000,,
0005574,001,A,184,,,72508.99,500,00000,G,23200000,,
0005574,002,G,43,,,72508.99,500,00000,K,23200000,,
0005574,019,L,227,,,72508.99,500,00000,I,23200000,,
0005574,,,,,,72508.99,500,00000,,23200000,,
0005579,001,A,182,,,69655.92,800,00000,G,23200000,,
0005579,025,O,2,,,69655.92,800,00000,K,23200000,,
0005579,019,L,182,,,69655.92,800,00000,I,23200000,,
0006484,001,A,183,,,68229.39,500,06484,G,23200000,,
0006484,002,G,24,,,68229.39,500,06484,K,23200000,,
0006484,025,O,1,,,68229.39,500,06484,K,23200000,,
0006484,019,L,207,0,,68229.39,500,06484,I,23200000,,
0006577,001,A,173,,,68229.39,500,00000,G,23200000,,
0006577,025,O,2,,,68229.39,500,00000,K,23200000,,
0006577,020,B,9,,,68229.39,500,00000,G,23200000,,
0006577,019,L,182,,,68229.39,500,00000,I,23200000,,
0006620,001,A,104,,,66802.85,403,06620,G,23200000,,
0006620,002,G,24,,,66802.85,403,06620,K,23200000,,
0006620,009,O,80,,,66802.85,403,06620,G,23200000,,
0006620,019,L,128,,,66802.85,403,06620,I,23200000,,
0006620,001,A,128,,,66802.85,403,06620,G,23200000,,
0006620,012,C,56,,,66802.85,403,06620,G,23200000,,
0006620,019,L,128,,,66802.85,403,06620,I,23200000,,
0006655,001,A,24,,,66802.85,500,00000,G,23200000,,
0006655,009,O,80,,,66802.85,500,00000,G,23200000,,
0006655,024,O,80,,,66802.85,500,00000,K,23200000,,
0006655,019,L,,,,66802.85,500,00000,I,23200000,,
0006655,019,L,24,,,66802.85,500,00000,I,23200000,,
0009233,001,A,184,,,73935.52,800,00000,G,23200000,,
0009233,002,G,38,,,73935.52,800,00000,K,23200000,,
0009233,019,L,222,0,,73935.52,800,00000,I,23200000,,
0005913,001,A,47,,,150968.33,202,00000,G,32300000,,
0005913,002,G,14,,,150968.33,202,00000,K,32300000,,
0005913,009,O,120,,,150968.33,202,00000,G,32300000,,
0005913,010,O,16,,,150968.33,202,00000,G,32300000,,
0005913,024,O,1,,,150968.33,202,00000,K,32300000,,
0005913,019,L,61,,,150968.33,202,00000,I,32300000,,
0005913,,,,,,150968.33,202,00000,,32300000,,
0005494,001,A,180,,,150968.33,203,00000,G,32300000,,
0005494,002,G,6,,,150968.33,203,00000,K,32300000,,
0005494,025,O,4,,,150968.33,203,00000,K,32300000,,
0005494,019,L,186,0,,150968.33,203,00000,I,32300000,,
0005662,001,A,184,,,50000,600,00000,G,30000000,,
0005662,019,L,184,,,50000,600,00000,I,30000000,,
0006092,001,A,184,,,104236.8,601,00000,G,30000000,,
0006092,019,L,184,,0,104236.8,601,00000,I,30000000,,
0006092,,,,,,104236.8,601,00000,,30000000,,
0003641,001,A,181,,,103892.72,407,00000,G,30000000,,
0003641,025,O,3,,,103892.72,407,00000,K,30000000,,
0003641,,,,,,103892.72,407,00000,,30000000,,
0003641,019,L,181,,,103892.72,407,00000,I,30000000,,
0005653,001,A,184,,,119072.75,300,00000,G,30000000,,
0005653,019,L,184,,,119072.75,300,00000,I,30000000,,
0005653,,,,,,119072.75,300,00000,,30000000,,
0009954,001,A,64,,,89971.47,800,00000,G,30000000,,
0009954,009,O,120,,,89971.47,800,00000,G,30000000,,
0009954,019,L,64,,,89971.47,800,00000,I,30000000,,
0004026,001,A,40,,,81068.19,400,00000,G,30000000,,
0004026,002,G,4,,,81068.19,400,00000,K,30000000,,
0004026,009,O,40,,,81068.19,400,00000,G,30000000,,
0004026,012,C,104,,,81068.19,400,00000,G,30000000,,
0004026,019,L,44,,,81068.19,400,00000,I,30000000,,
0008320,001,A,184,,,175219.4,601,00000,G,31000000,,
0008320,002,G,8,,,175219.4,601,00000,K,31000000,,
0008320,019,L,192,,,175219.4,601,00000,I,31000000,,
0006192,001,A,176,,,175219.4,601,00000,G,31000000,,
0006192,002,G,35,,,175219.4,601,00000,K,31000000,,
0006192,025,O,4,,,175219.4,601,00000,K,31000000,,
0006192,020,B,1,,,175219.4,601,00000,G,31000000,,
0006192,017,O,3,,,175219.4,601,00000,K,31000000,,
0006192,019,L,211,,,175219.4,601,00000,I,31000000,,
0006067,001,A,184,,,133849.93,604,00000,G,31000000,,
0006067,019,L,184,,,133849.93,604,00000,I,31000000,,
0006152,001,A,176,,,113878.46,601,00000,G,31100000,,
0006152,024,O,3,,,113878.46,601,00000,K,31100000,,
0006152,025,O,5,,,113878.46,601,00000,K,31100000,,
0006152,019,L,176,,,113878.46,601,00000,I,31100000,,
0006531,001,A,64,,,92480.46,403,00000,G,31100000,,
0006531,009,O,120,,,92480.46,403,00000,G,31100000,,
0006531,019,L,,,,92480.46,403,00000,I,31100000,,
0006531,019,L,64,,,92480.46,403,00000,I,31100000,,
0006640,001,A,175,,,113878.46,601,00000,G,31100000,,
0006640,024,O,5,,,113878.46,601,00000,K,31100000,,
0006640,025,O,4,,,113878.46,601,00000,K,31100000,,
0006640,019,L,175,,,113878.46,601,00000,I,31100000,,
0006717,001,A,184,,,111025.39,000,06717,G,31100000,,
0006717,019,L,184,,,111025.39,000,06717,I,31100000,,
0004583,001,A,184,,,96760.06,602,00000,G,31200000,,
0004583,002,G,20,,,96760.06,602,00000,K,31200000,,
0004583,,,,,,96760.06,602,00000,,31200000,,
0004583,019,L,196,,,96760.06,602,00000,I,31200000,,
0004623,001,A,184,,,125290.73,602,00000,G,31200000,,
0004623,002,G,20,,,125290.73,602,00000,K,31200000,,
0004623,019,L,204,,,125290.73,602,00000,I,31200000,,
0005610,001,A,175,,,92480.46,601,00000,G,31200000,,
0005610,001,A,175,,,92480.46,601,00000,G,31200000,,
0005610,002,G,17,,,92480.46,601,00000,K,31200000,,
0005610,025,O,8,,,92480.46,601,00000,K,31200000,,
0005610,017,O,1,,,92480.46,601,00000,K,31200000,,
0005610,019,L,192,,,92480.46,601,00000,I,31200000,,
0005998,001,A,181,,,73935.52,602,00000,G,31200000,,
0005998,002,G,15,,,73935.52,602,00000,K,31200000,,
0005998,024,O,3,,,73935.52,602,00000,K,31200000,,
0005998,019,L,196,,,73935.52,602,00000,I,31200000,,
0005999,001,A,177,,,72508.99,602,00000,G,31200000,,
0005999,001,A,177,,,72508.99,602,00000,G,31200000,,
0005999,002,G,25,,,72508.99,602,00000,K,31200000,,
0005999,025,O,1,,,72508.99,602,00000,K,31200000,,
0005999,017,O,6,,,72508.99,602,00000,K,31200000,,
0005999,019,L,202,,,72508.99,602,00000,I,31200000,,
0006009,001,A,178,,,125290.73,601,00000,G,31200000,,
0006009,002,G,16,,,125290.73,601,00000,K,31200000,,
0006009,025,O,5,,,125290.73,601,00000,K,31200000,,
0006009,020,B,1,,,125290.73,601,00000,G,31200000,,
0006009,,,,,,125290.73,601,00000,,31200000,,
0006009,019,L,194,,,125290.73,601,00000,I,31200000,,
0006016,001,A,181,,,92480.46,601,00000,G,31200000,,
0006016,002,G,6,,,92480.46,601,00000,K,31200000,,
0006016,025,O,3,,,92480.46,601,00000,K,31200000,,
0006016,019,L,187,,,92480.46,601,00000,I,31200000,,
0006414,001,A,183,,,108172.33,601,00000,G,31200000,,
0006414,002,G,40,,,108172.33,601,00000,K,31200000,,
0006414,017,O,1,,,108172.33,601,00000,K,31200000,,
0006414,019,L,223,,,108172.33,601,00000,I,31200000,,
0006480,001,A,183,,,130996.86,403,00000,G,31200000,,
0006480,002,G,6,,,130996.86,403,00000,K,31200000,,
0006480,024,O,1,,,130996.86,403,00000,K,31200000,,
0006480,019,L,189,,,130996.86,403,00000,I,31200000,,
0006547,001,A,61,,,125290.73,403,00000,G,31200000,,
0006547,009,O,120,,,125290.73,403,00000,G,31200000,,
0006547,025,O,2,,,125290.73,403,00000,K,31200000,,
0006547,017,O,1,,,125290.73,403,00000,K,31200000,,
0006547,019,L,61,,,125290.73,403,00000,I,31200000,,
0006560,001,A,183,,,125290.73,600,00000,G,31200000,,
0006560,020,B,1,,,125290.73,600,00000,G,31200000,,
0006560,019,L,184,,,125290.73,600,00000,I,31200000,,
0006656,001,A,184,,,108172.33,601,00000,G,31200000,,
0006656,002,G,12,,,108172.33,601,00000,K,31200000,,
0006656,019,L,196,,,108172.33,601,00000,I,31200000,,
0006711,001,A,183,,,111025.39,306,06711,G,31200000,,
0006711,020,B,1,,,111025.39,306,06711,G,31200000,,
0006711,019,L,184,,,111025.39,306,06711,I,31200000,,
0006716,001,A,104,,,111025.39,000,06716,G,31200000,,
0006716,002,G,18,,,111025.39,000,06716,K,31200000,,
0006716,009,O,80,,,111025.39,000,06716,G,31200000,,
0006716,019,L,122,,,111025.39,000,06716,I,31200000,,
0006720,001,A,184,,,111025.39,000,06720,G,31200000,,
0006720,001,A,184,,,111025.39,000,06720,G,31200000,,
0006720,002,G,6,,,111025.39,000,06720,K,31200000,,
0006720,019,L,190,,,111025.39,000,06720,I,31200000,,
0006721,001,A,112,,,111025.39,312,00000,G,31200000,,
0006721,002,G,6,,,111025.39,312,00000,K,31200000,,
0006721,009,O,72,,,111025.39,312,00000,G,31200000,,
0006721,019,L,118,,,111025.39,312,00000,I,31200000,,
0008318,001,A,98,,,79641.65,602,00000,G,31200000,,
0008318,012,C,80,,,79641.65,602,00000,G,31200000,,
0008318,020,B,6,,,79641.65,602,00000,G,31200000,,
0008318,019,L,98,,,79641.65,602,00000,I,31200000,,
0009390,001,A,64,,,99613.12,602,00000,G,31200000,,
0009390,012,C,120,,,99613.12,602,00000,G,31200000,,
0009390,019,L,64,,,99613.12,602,00000,I,31200000,,
0004166,001,A,183,,,71082.45,603,00000,G,31300000,,
0004166,025,O,1,,,71082.45,603,00000,K,31300000,,
0004166,019,L,183,,,71082.45,603,00000,I,31300000,,
0004341,001,A,180,,,79641.65,603,00000,G,31300000,,
0004341,002,G,15,,,79641.65,603,00000,K,31300000,,
0004341,025,O,4,,,79641.65,603,00000,K,31300000,,
0004341,019,L,195,,,79641.65,603,00000,I,31300000,,
0004513,001,A,180,,,79641.65,603,00000,G,31300000,,
0004513,002,G,40,,,79641.65,603,00000,K,31300000,,
0004513,025,O,4,,,79641.65,603,00000,K,31300000,,
0004513,019,L,220,0,,79641.65,603,00000,I,31300000,,
0005592,012,C,184,,,72508.99,602,00000,G,31300000,,
0005605,001,A,183,,,71082.45,603,00000,G,31300000,,
0005605,002,G,29,,,71082.45,603,00000,K,31300000,,
