MBRD,RBVP,SLOV,SATI,IZNO,PERC,KOEF,RJ,BRIG,POK2,RBTC,KONT,RBKO
0004366,009,O,72,0,0,113878.46,302,04366,G,32220000,,
0004366,019,L,138,0,0,113878.46,302,04366,I,32220000,,
0004371,001,A,168,0,0,76788.59,306,04371,G,32260000,,
0004371,019,L,168,0,0,76788.59,306,04371,I,32260000,,
0004389,001,A,168,0,0,112451.93,202,00000,G,32320000,,
0004389,002,G,90,0,0,112451.93,202,00000,K,32320000,,
0004389,019,L,258,0,0,112451.93,202,00000,I,32320000,,
0004392,001,A,200,0,0,88200.86,203,04392,G,32330000,,
0004392,002,G,20,0,0,88200.86,203,04392,K,32330000,,
0004392,004,B,64,0,0,88200.86,203,04392,K,32330000,,
0004392,019,L,220,0,0,88200.86,203,04392,I,32330000,,
0004393,001,A,188,0,0,75362.05,203,04393,G,32330000,,
0004393,004,B,64,0,0,75362.05,203,04393,K,32330000,,
0004393,019,L,188,0,0,75362.05,203,04393,I,32330000,,
0004396,001,A,192,0,0,88200.86,203,04396,G,32330000,,
0004396,002,G,10,0,0,88200.86,203,04396,K,32330000,,
0004396,004,B,56,0,0,88200.86,203,04396,K,32330000,,
0004396,019,L,202,0,0,88200.86,203,04396,I,32330000,,
0004397,001,A,160,0,0,72508.99,201,00000,G,32310000,,
0004397,002,G,17,0,0,72508.99,201,00000,K,32310000,,
0004397,010,O,8,0,0,72508.99,201,00000,G,32310000,,
0004397,019,L,177,0,0,72508.99,201,00000,I,32310000,,
0004400,001,A,96,0,0,103892.72,305,04400,G,32250000,,
0004400,002,G,11,0,0,103892.72,305,04400,K,32250000,,
0004400,009,O,72,0,0,103892.72,305,04400,G,32250000,,
0004400,019,L,107,0,0,103892.72,305,04400,I,32250000,,
0004430,001,A,165,0,0,82494.72,307,04430,G,32270000,,
0004430,002,G,71,0,0,82494.72,307,04430,K,32270000,,
0004430,017,O,3,0,0,82494.72,307,04430,K,32270000,,
0004430,019,L,236,0,0,82494.72,307,04430,I,32270000,,
0004434,001,A,166,0,0,76788.59,306,04434,G,32250000,,
0004434,002,G,18,0,0,76788.59,306,04434,K,32250000,,
0004434,017,O,2,0,0,76788.59,306,04434,K,32250000,,
0004434,019,L,184,0,0,76788.59,306,04434,I,32250000,,
0004463,001,A,168,0,0,65091.01,309,00000,G,32290000,,
0004463,002,G,40,0,0,65091.01,309,00000,K,32290000,,
0004463,019,L,208,0,0,65091.01,309,00000,I,32290000,,
