"SIFK","IMEK","SEDI","ZRAC","POBR","PART","GRUP","ZAJED","KONT1","ANSI1","ZNAK1","MBKO1","KONT2","ANSI2","ZNAK2","MBKO2","KONT3","ANSI3","ZNAK3","MBKO3","KONT4","ANSI4","ZNAK4","MBKO4"
025,UNICREDIT BANKA,BEOGRAD,170-10444386013-31,,1020394420,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
028,MOTO SHOP,SMED.PALANKA,160-134213-84,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
029,EUROBANK DIREKTNA,BEOGRAD,250161002553150002,,1610100RSD001065,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
030,POVRACAJ ZA PLANETU,SMED.PALANKA,160-0300100263720-,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
031,DRVO PROM PLUS,SM.PALANKA,325-9500700200933-94,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
032,ADDIKO BANKA,BEOGRAD,908-16501-42,,7018833087,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
033,PUP OPTIMUM,SM.PALANKA,160-5849-86,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
008,TRIM-SPORT PLUS D.O.O.,SM.PALANKA,205-217617-47,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
034,PNEUBEST DOO,SMED.PALANKA,160-415976-53,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
035,SOCIETE GENERALE BANKA,BEOGRAD,275-0021102933149-87,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
036,POVRACAJ VISE UPL.SRED.,SMED.PALANKA,160-1160-88,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
037,ULIS DOO,SM.PALANKA,170-30026740000-28,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
038,PLANETA SPORT D.O.O.,BEOGRAD,265-1110310000589-75,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
026,EUROBANKA,BEOGRAD,250161002994150026,,1610744RSD000002,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
040,888 DOLI BEL MAJDANPEK,MAJDANPEK,160-6000001837451-12,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
041,SOCIETE GENERALE BANKA A.D.,BEOGRAD,275-0011102736629-34,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
042,OTO-OPTIK,BEOGRAD,170-39004783014-84,,305,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
043,RGM-PAK DOO,GORNI MILANOVAC,155-1635-52,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
044,UNICREDIT BANKA,BEOGRAD,170-10344966013-66,,2025033591,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
027,FIT PRODUCT DOO,CACAK,155-16256-33,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
045,VOJVODJANSKA BANKA,NOVIC SAD,325-9500700000001-95,,0049015181086,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
046,SOCIETE GENERALE BANKA,BEOGRAD,275002082378104512,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
047,VILITOOLS,BEOGRAD,265-6560310001084-52,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
048,KOTEX,SM.PALANKA,310-207237-78,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
115,AGENCIJA M-M,VELIKA PLANA,200-2798230101933-36,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
116,KOMPANIJA DUNAV OSIGURANJE,BEOGRAD,205-9446-74,,1205,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
117,SELTEX,SMED.PALANKA,200-2601080201887-41,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
118,KARTICE-FOM,SM.PALANKA,160-1160-88,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
119,HYPNOTIK,SMED.PALANKA,160-240247-45,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
120,MERCATOR,NOVI SAD,265-1100310000633-90,,33060700350721,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
121,AMK JASENICA,SM.PALANKA,160-68017-16,,AZ 14/08,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
122,DONIC D.O.O.,VELIKA PLANA,160-35767-57,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
123,VICONT VEKTOR,BEOGRAD,200-2417620101933-33,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
124,DJAK DOO,BEOGRAD,275-220021794-66,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
049,221 P.NALOG,FOM,160-1160-88,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
050,GRADJA TRANS,S.PALANKA,160-6000001513603-04,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
051,UNICREDIT BANKA,BEOGRAD,170-10344966014-63,,1020384396,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
052,27.MAJ,SM.PALANKA,205-357435-21,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
053,EUROBANKA,BEOGRAD,250-1610030771500-16,,1610723RSD000442,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
054,SOCIETE GENERALE BANKA,BEOGRAD,275-0021242327924-28,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
055,MINEMA A.S.,SMED.PALANKA,170-0030036066000-29,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
056,GRAFOTEHNIKA,PALANKA,355-1086980-37,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
057,SOCIETE GENERALE BANKA,BEOGRAD,275-0011109005753-89,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
058,MOJA KNJIGA,SMED.PALANKA,200-2926050101887-49,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
059,SOCIETE GENERALE BANKA,BEOGRAD,275-0011102225989-33,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
060,EUROBANK BANKA,BEOGRAD,250161000701120078,,1610101RSD001866,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
061,BIROTEL,BEOGRAD,285-1524021490002-97,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
062,AMALIO BUTIK,SMED.PALANKA,170-50027819000-12,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
002,DIREKTNA BANKA,BEOGRAD,150-27925-74,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
152,FOM-LEKARSKI,SM.PALANKA,160-1160-88,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
063,TERMODOM CENTAR,S.PALANKA,330-50001208-78,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
064,EFG EUROBANK,BEOGRAD,250000000424955160,,GRUPNE OBUSTAVE,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
065,DJURIC PLUS DOO,SM.PALANKA,205-18446-40,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
066,SOCIETE GENERALE BANKA,BEOGRAD,275-0011101615442-23,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
067,STKR PEPELJUGA,SM.PALANKA,205-31346-43,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
125,MTS BANKA,BEOGRAD,360-0779990000019-54,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
068,SOCIETE GENERALE BANKA,BEOGRAD,275-0011101713869-10,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
069,ZOM-IMPEX DOO,SUBOTICA,355-0003200085466-85,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
070,"TRI ""O'DOO",ARANDJELOVAC,125-1828357-87,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
071,POGR.ZOM IMPEX,,160-1160-88,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
072,SILVER&WATCHES BG DOO,BEOGRAD,265-1110310002602-50,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
073,OTP BANKA,BEOGRADA,275-0021103924581-05,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
074,SOCIETE GENERALE BANKA,BEOGRAD,275-0011102433757-51,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
075,JUPITER,BEOGRAD,205-1867-16,,11010089,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
076,VOJVODJANSKA BANKA,BEOGRAD,325-911060010378187,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
077,OTP BANKA,BEOGRAD,275002110411640631,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
078,SOCIETE GENERALE BANKA,BEOGRAD,275002110174632286,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
079,BISA D.O.O.CIPELICI,BEOGRAD,205-19909-16,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
080,SOCIETE GENERALE BANKA,BEOGRADVAC,275001110293863281,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
081,OTP BANKA,BEOGRAD,275-0011105021718-48,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
082,EUROBANK EFG,BEOGRAD,250-0000000079550-70,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
083,DJORDJEVIC DENTAL,SMED.PALANKA,170-5002746700070,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
084,STIL STEP,NIS,170-30010313001-78,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
085,AQUA BUTIK,SMED.PALANKA,170-50017139000-39,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
086,NLB BANKA,BEOGRAD,205900103015775293,,07-499-3005965.0,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
087,BILJANA PISAREVIC KROMPIR,SMED.PALANKA,275002124316566866,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
088,APOTEKA ZDRAVLJE,SMED.PALANKA,840-228667-14,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
089,SOCIETE GENERAL BANKA,SMED.PALANKA,908-0000000027501-22,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
090,DREAM RELAX P.R.,BEOGRAD,160-461957-44,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
091,UNICREDIT BANKA,BEOGRAD,170-10274653012-56,,1020266468,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
153,GOSA FOM-OTKUP,SM.PALANKA,160-1160-88,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
092,STKR AS,SM.PALANKA,250-1610000045040-05,,1/07-1,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
093,SOCIETE GENERALE BANKA,BEOGRAD,275-0011101487101-53,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
094,UNICREDIT,BEOGRAD,170-10450612005-84,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
095,UNICREDIT,BEOGRAD,170-10450612006-81,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
096,UNICREDIT BANKA,BEOGRAD,170-10471050005-75,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
097,BRANDROOM,SM.PALANKA,170-0050004973000-43,,70/07,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
098,OTP BANKA,BEOGRAD,275001110973769552,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
099,V&B TEKSTIL D.O.O.,BEOGRAD,330-4010360-16,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
100,RAIFFEISEN BANKA,BEOGRAD,265-1810320000001-51,,265-000000097582492,FALSE,TRUE,000000,,0,,000000,,0,,000000,A,0,,000000,,0,
015,EUROBANAKA,BEOGRAD,250161000702120051,,1610101RSD001886,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
126,FOTO-VIDEO SASA,SMED.PALANKA,170-005000534000-97,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
127,BELLA DORMO,BEOGRAD,160-374794-21,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
128,DN ELEKTONIK,SMED.PALANKA,330-50000299-89,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
129,EWE COMP,BEOGRAD,205-162174-21,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
130,VOJVODJANSKA BANKA,BEOGRAD,355-9999991111-70,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
131,STR RIBO-LOV,SMED. PALANKA,250-1610000035040-32,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
132,OPTIKA VIKTORIJA PLUS,NOVI BEOGRAD,220-119612-59,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
133,SZTRK MISS,KRAGUJEVAC,165-28139-18,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
154,BELI LABUD,BEOGRAD,160-306034-79,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
136,CREDIT AGRICOLE,NOVI SAD,330-15-44,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
134,DELTA GENERALI OSIGURANJE,BEOGRAD,160-561-42,,715445,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
135,DELTA GENERALI OSIGURANJE,BEOGRAD,160-561-42,,393203,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
155,PNEUTECH,SMED.PALANKA,285-1501000000-19,,6/6,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
137,JKP MILOS MITROVIC,VELIKA PLANA,160-7096-31,,4/0/-14311,FALSE,TRUE,,,0,,,,0,,,,0,,,,0,
138,REP.FOND ZA PIO,SMEDEREVO,840-16752-21,,0405975766012,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
139,OPSTINSKA GROBLJA,SMED.PALANKA,160-382522-20,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
140,LUPO HOME LINE,BEOGRAD,220-120199-44,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
141,JUGOPREVOZ,VELIKA PLANA,340-11002585-14,,2707,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
142,SOCIETE GENERALE BANK,BEOGRAD,275-0011102225437-40,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
151,FOM-MT:S,SM.PALANKA,160-1160-88,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
156,GOSA STAN-SPORNI22109,SM.PALANKA,,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
157,STUDIO MODERNA,NOVI SAD,275-0010226779098-37,,2000117554,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
158,STR RIBOLOVAC,SM.PALANKA,3259500600044308-16,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
159,DAMB D.O.O.,BEOGRAD,205-8415-63,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
160,DUNAV OSIGURANJE GFO,SMEDEREVO,360-1656-76,,04/89124444,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
161,DDOR NOVI SAD,NOVI SAD,105-800351-17,,29-0985945591,FALSE,TRUE,,,0,,,,0,,,,0,,,,0,
162,RAIFFEISEN BANKA,265-17103200000,01-66,,27-A161817250,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
163,S.Z.T.R.SKIPPER,KRAGUJEVAC,160-308704-23,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
164,GOSA FOM/NAKNADA STETE,S.PALANKA,160-1160-88,,,FALSE,TRUE,,,0,,,,0,,,,0,,,,0,
165,IN FASHON DOO,VRANJE,160-360660-34,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
166,BANKA INTESA,KRAGUJEVAC,160-0000000000044-41,,53-266-00280202,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
167,LEDER PRODUKT DOO,BEOGRAD,170-0030010559000-57,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
168,SZTRK FLES,NOVI SAD,355-1036569-47,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
169,VOJVODJANSKA BANKA A.D.,NOVI SAD,355-0003200311855-15,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
170,PROFI OPTIK D.O.O.,BEOGRAD,205-157790-78,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
171,APEJRON,BEOGRAD,160-406444-34,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
172,ATOS LIGHT,BEOGRAD,325-9500700018307-79,,59,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
173,OBLAK TEHNOLOGY DOO,BEOGRAD,160-148950-08,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
174,PANTEKS DOO,SR.KARLOVCI,160-923188-56,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
039,NLB KOMERCIJALNA BANKA,BEOGRAD,908-20501-70,,0049034044626,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
175,INTEH V D.O.O.,BEOGRAD,285-2041000000241-13,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
176,SOCIETE GENERALE BANKA,BEOGRAD,275-0011101749446-76,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
177,PANTH CENTAR-MENZA,SM.PALANKA,1705001404300095,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
178,FINDOMESTIK BANKA,BEOGRAD,240-5000168802150-86,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
179,SZTKR EUREKA,CACAK,220-59803-366,,14/2015,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
180,CREDIT AGRICOLE,NOVI SAD,330-5000100442025-78,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
181,UNISREDIT BANK,BEOGRAD,170-10255173002-11,,,FALSE,TRUE,,,0,,,,0,,,,0,,,,0,
182,MILTEH PLUS - NIS,NIS,125-1819661-82,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
183,ALFA MAKS COSMATICS DOO,BEOGRAD,170-30026490001-21,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
184,SOCITE GENERALE BANKA,BEOGRAD,275-0011102842138-18,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
185,ALPHA BANKA,SMED.PALANKA,180133101053229482,,133/RL4797/007340133,FALSE,TRUE,,,0,,,,0,,,,0,,,,0,
186,DDOR NOVI SAD,NOVI SAD,355-1127825-13,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
187,SOCIETE GENERALE BANKA,BEOGRAD,275-0011102800576-59,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
188,STEFAN D.O.O.,ARILJE,355-1003252-88,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
143,SELTEX RADNJA,SMED.PALANKA,170-50012528001-60,,,FALSE,TRUE,,,0,,,,0,,,,0,,,,0,
144,STOJANOVIC PASULJ,SMED.PALANKA,200-81843660-98,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
145,MILOJEVIC KROMPIR,IVANJICA,160-1700100239952-44,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
189,NIKOLAJ HOME DOO,BEOGRAD,160-416670-08,,,FALSE,TRUE,,,0,,,,0,,,,0,,,,0,
190,UNICREDIT BANKA A.D.,BEOGRAD,170-10344966004-93,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
191,22103POVRACAJ PUTNIH NALOGA,SMED.PALANKA,160-1160-88,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
192,CREDIT AGRICOLE,BEOGRAD,,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
