"MBRD,C,7","RBVP,C,3","SLOV,C,1","SATI,N,6,2","IZNO,N,14,3","PERC,N,14,4","KOEF,N,12,3","POK2,C,1","RBRM,C,3","KESC,C,1","RBPS,C,2","P_R,C,1","RBMZ,C,4","RBOP,C,4","RBIM,C,3","RBTC,C,8","SIFK,C,5","SALD,N,10,2","STSALD,N,12,2","RATB,N,12,2","RATP,N,12,2","NEAK,N,12,3","REC,N,1,0","RBZA,C,1","GRAD,C,10","KPREB,N,5,3","LPREB,N,5,3","PART,C,30","HKMB,C,7","MRBTC,C,8","POROSL,N,10,2","NAZI,C,20"
0004699,090,T,0,936.826,0,,K,005,R,03,U,,,992,32340000,,,,,,,,,,,,,0001878,,,
0004701,090,T,0,944.191,0,,K,005,R,03,P,,,910,32250000,,,,,,,,,,,,,0001880,,,
0004719,098,T,0,543.91,0,,K,005,R,03,U,,,910,32400000,,,,,,,,,,,,,0002242,,,
0004721,090,T,0,1322.688,0,,K,005,R,03,P,,,920,32320000,,,,,,,,,,,,,0002244,,,
0004722,090,T,0,722.275,0,,K,005,R,03,U,,,991,32400000,,,,,,,,,,,,,0002245,,,
0004723,090,T,0,987.497,0,,K,004,R,03,U,,,997,32290000,,,,,,,,,,,,,0002246,,,
0004729,090,T,0,807.05,0,,K,005,R,03,P,,,991,32330000,,,,,,,,,,,,,0002248,,,
0004730,090,T,0,825.982,0,,K,005,R,03,U,,,930,32330000,,,,,,,,,,,,,0002249,,,
0004739,090,T,0,596.142,0,,K,005,R,03,P,,,930,32310000,,,,,,,,,,,,,0001884,,,
0004743,090,T,0,1014.591,0,,K,005,R,03,U,,,920,32290000,,,,,,,,,,,,,0004743,,,
0004763,090,T,0,1242.133,0,,K,004,R,04,U,,,910,32290000,,,,,,,,,,,,,0001890,,,
0004769,090,T,0,1051.798,0,,K,005,R,03,P,,,910,32250000,,,,,,,,,,,,,0002269,,,
0004773,090,T,0,1050.846,0,,K,005,R,03,U,,,991,32320000,,,,,,,,,,,,,0002267,,,
0004791,090,T,0,747.737,0,,K,005,R,06,R,,,920,23200000,,,,,,,,,,,,,0002264,,,
0004836,090,T,0,665.444,0,,K,005,R,03,R,,,980,32210000,,,,,,,,,,,,,0001893,,,
0004845,090,T,0,1100.562,0,,K,005,R,03,P,,,930,32250000,,,,,,,,,,,,,0002277,,,
0004846,090,T,0,972.283,0,,K,005,R,02,U,,,930,23200000,,,,,,,,,,,,,0002278,,,
0004864,090,T,0,746.095,0,,K,005,R,03,P,,,992,32260000,,,,,,,,,,,,,0002287,,,
0004890,090,T,0,1252.88,0,,K,005,R,03,P,,,930,32250000,,,,,,,,,,,,,0002299,,,
0004897,090,T,0,1035.272,0,,K,005,R,03,P,,,997,32260000,,,,,,,,,,,,,0001897,,,
0004905,090,T,0,626.844,0,,K,020,R,06,R,,,930,22300000,,,,,,,,,,,,,0001899,,,
0004908,090,T,0,1418.652,0,,K,005,R,08,R,,,930,21000000,,,,,,,,,,,,,0002302,,,
0004912,090,T,0,536.636,0,,K,021,R,06,R,,,920,22300000,,,,,,,,,,,,,0002306,,,
0004914,065,T,0,5765,0,,K,004,R,06,R,,,910,32210000,,,,,,,,,,,,,0002308,,,
0004914,065,T,0,5000,0,,K,004,R,06,R,,,910,32210000,,,,,,,,,,,,,0002308,,,
0004914,065,T,0,5000,0,,K,004,R,06,R,,,910,32210000,,,,,,,,,,,,,0002308,,,
0004914,090,T,0,603.779,0,,K,004,R,06,R,,,910,32210000,,,,,,,,,,,,,0002308,,,
0004921,090,T,0,818.72,0,,K,020,R,06,R,,,930,22200000,,,,,,,,,,,,,0002313,,,
0004929,090,T,0,620.587,0,,K,005,R,06,R,,,930,33300000,,,,,,,,,,,,,0001901,,,
0004934,090,T,0,455.277,0,,K,021,R,06,R,,,997,22300000,,,,,,,,,,,,,0002200,,,
0004949,090,T,0,622.672,0,,K,023,R,06,R,,,910,22000000,,,,,,,,,,,,,0002208,,,
0005030,090,T,0,653.1,0,,K,020,R,06,R,,,997,22200000,,,,,,,,,,,,,0001908,,,
0005084,090,T,0,701.145,0,,K,005,R,03,P,,,910,32260000,,,,,,,,,,,,,0001909,,,
0005098,090,T,0,1080.484,0,,K,005,R,03,P,,,910,32250000,,,,,,,,,,,,,0003994,,,
0005134,090,T,0,622.139,0,,K,005,R,03,P,,,930,32250000,,,,,,,,,,,,,0003982,,,
0005137,090,T,0,635.93,0,,K,005,R,03,U,,,991,32400000,,,,,,,,,,,,,0001921,,,
0005154,090,T,0,1130.244,0,,K,005,R,03,P,,,997,32120000,,,,,,,,,,,,,0001926,,,
0005154,504,T,0,9000,0,,K,005,R,03,P,,,997,32120000,,,,,,,,,,,,,0001926,,,
0005164,090,T,0,1311.649,0,,K,005,R,03,P,,,991,32320000,,,,,,,,,,,,,0003987,,,
0005186,090,T,0,646.656,0,,K,005,R,03,U,,,930,32400000,,,,,,,,,,,,,0001931,,,
0005189,090,T,0,811.168,0,,K,005,R,06,R,,,997,23200000,,,,,,,,,,,,,0001933,,,
0005202,090,T,0,1093.736,0,,K,004,R,06,U,,,910,32290000,,,,,,,,,,,,,0002342,,,
0005224,090,T,0,491.858,0,,K,005,R,03,R,,,992,23200000,,,,,,,,,,,,,0001939,,,
0005226,090,T,0,649.573,0,,K,009,R,06,U,,,930,33200000,,,,,,,,,,,,,0001940,,,
0005245,090,T,0,519.681,0,,K,002,R,08,R,,,930,10000000,,,,,,,,,,,,,0001946,,,
0005255,065,T,0,9885,0,,K,005,R,02,P,,,930,32220000,,,,,,,,,,,,,0001950,,,
0005255,090,T,0,1187.026,0,,K,005,R,02,P,,,930,32220000,,,,,,,,,,,,,0001950,,,
0005261,065,T,0,5000,0,,K,005,R,03,P,,,980,32270000,,,,,,,,,,,,,0001952,,,
0005261,090,T,0,998.882,0,,K,005,R,03,P,,,980,32270000,,,,,,,,,,,,,0001952,,,
0005266,090,T,0,1019.513,0,,K,005,R,03,P,,,930,32220000,,,,,,,,,,,,,0001953,,,
0005275,090,T,0,0,0,,K,005,R,06,R,,,920,32290000,,,,,,,,,,,,,0001957,,,
0005278,090,T,0,885.734,0,,K,005,R,03,P,,,991,32250000,,,,,,,,,,,,,0001958,,,
0005312,090,T,0,618.324,0,,K,005,R,02,U,,,930,32210000,,,,,,,,,,,,,0004099,,,
0005314,090,T,0,873.117,0,,K,005,R,03,P,,,997,32250000,,,,,,,,,,,,,0004101,,,
0005315,090,T,0,0,0,,K,005,R,03,P,,,930,32220000,,,,,,,,,,,,,0002030,,,
0005317,098,T,0,537.358,0,,K,005,R,03,P,,,920,32220000,,,,,,,,,,,,,0004096,,,
0005318,090,T,0,496.786,0,,K,005,R,03,U,,,920,32290000,,,,,,,,,,,,,0001964,,,
0005325,090,T,0,822.166,0,,K,005,R,03,U,,,930,32290000,,,,,,,,,,,,,0001967,,,
0005330,090,T,0,674.522,0,,K,005,R,01,U,,,920,32310000,,,,,,,,,,,,,0005167,,,
0005336,098,T,0,988.958,0,,K,005,R,03,U,,,997,32110000,,,,,,,,,,,,,0005169,,,
0005336,503,T,0,19779.163,20,,K,005,R,03,U,,,997,32110000,,,,,,,,,,,,,0005169,,,
0005342,090,T,0,611.025,0,,K,005,R,03,P,,,920,32230000,,,,,,,,,,,,,0005170,,,
0005362,090,T,0,926.106,0,,K,009,R,06,U,,,930,33100000,,,,,,,,,,,,,0001986,,,
0005371,065,T,0,5000,0,,K,009,R,06,U,,,930,33100000,,,,,,,,,,,,,0001971,,,
0005371,090,T,0,928.311,0,,K,009,R,06,U,,,930,33100000,,,,,,,,,,,,,0001971,,,
0005377,090,T,0,1081.749,0,,K,005,R,03,P,,,930,32320000,,,,,,,,,,,,,0001973,,,
0005390,090,T,0,0,0,,K,005,R,04,P,,,930,32320000,,,,,,,,,,,,,0005161,,,
0005431,090,T,0,1222.695,0,,K,005,R,03,P,,,991,32320000,,,,,,,,,,,,,0004093,,,
0005484,090,T,0,539.293,0,,K,005,R,03,P,,,930,32250000,,,,,,,,,,,,,0002014,,,
0005505,090,T,0,1109.138,0,,K,014,R,08,R,,,930,22200000,,,,,,,,,,,,,0001980,,,
0005509,090,T,0,1043.94,0,,K,005,R,06,R,,,930,32280000,,,,,,,,,,,,,0004038,,,
0005519,090,T,0,533.457,0,,K,017,R,08,R,,,930,22300000,,,,,,,,,,,,,0002001,,,
0005524,090,T,0,607.757,0,,K,023,R,06,R,,,930,22000000,,,,,,,,,,,,,0002002,,,
0005536,090,T,0,655.696,0,,K,005,R,02,U,,,930,32310000,,,,,,,,,,,,,0005142,,,
0005538,090,T,0,554.829,0,,K,021,R,06,R,,,997,22300000,,,,,,,,,,,,,0002051,,,
0005541,090,T,0,747.252,0,,K,005,R,06,R,,,910,32210000,,,,,,,,,,,,,0002055,,,
0005548,090,T,0,514.328,0,,K,002,R,08,R,,,930,23000000,,,,,,,,,,,,,0002107,,,
0005554,090,T,0,645.996,0,,K,005,R,03,P,,,997,32250000,,,,,,,,,,,,,0005143,,,
0005565,090,T,0,769.425,0,,K,005,R,06,R,,,910,23200000,,,,,,,,,,,,,0005146,,,
0005566,090,T,0,747.1,0,,K,005,R,03,P,,,930,32320000,,,,,,,,,,,,,0008315,,,
0005567,090,T,0,957.812,0,,K,005,R,03,P,,,930,32260000,,,,,,,,,,,,,0002171,,,
0005571,090,T,0,804.011,0,,K,005,R,06,U,,,920,32290000,,,,,,,,,,,,,0002175,,,
0005572,090,T,0,658.379,0,,K,009,R,06,U,,,997,33200000,,,,,,,,,,,,,0002179,,,
0005574,098,T,0,841.37,0,,K,005,R,06,R,,,930,23200000,,,,,,,,,,,,,0002108,,,
0005577,090,T,0,686.624,0,,K,005,R,06,R,,,920,10000000,,,,,,,,,,,,,0002127,,,
0005592,098,T,0,0,0,,K,006,R,08,R,,,991,31300000,,,,,,,,,,,,,0002190,,,
0005600,090,T,0,850.237,0,,K,005,R,03,U,,,910,32340000,,,,,,,,,,,,,0005157,,,
0005605,065,T,0,10000,0,,K,005,R,06,R,,,980,31300000,,,,,,,,,,,,,0002145,,,
0005605,090,T,0,663.007,0,,K,005,R,06,R,,,980,31300000,,,,,,,,,,,,,0002145,,,
0005607,090,T,0,749.386,0,,K,005,R,03,U,,,997,32120000,,,,,,,,,,,,,0002173,,,
0005609,090,T,0,518.723,0,,K,005,R,03,R,,,930,42000000,,,,,,,,,,,,,0002101,,,
