M_G;NT1;NT2;NT3;NT4;NT5;NT6;BR1;BR2;BR3;BR4;P1;P2;P3;P4;STOPA1;STOPA2;STOPA3;STOPA4;STOPA5;STOPA6;STOPA7;STOPA8;STOPA9;I1;I2;I3;I4;I5;I6;KONTR;STOPAZ1;STOPAZ2;STOPAZ3;STOPAZ4;STOPAZ5;STOPAZ6;STOPAZ7;STOPAZ8;I22;I23;I24;I25;I26;I32;I33;I34;I35;I36;I42;I43;I44;I45;I46;I52;I53;I54;I55;I56;I62;I63;I64;I65;I66;I72;I73;I74;I75;I76;I82;I83;I84;I85;I86;I92;I93;I94;I95;I96;I7;I8;I9;MESEC;IZNOS1;IZNOS2
1113;17225.35;25677.6;25677.6;25677.6;25677.6;25677.6;25677.6;25677.6;25677.6;25677.6;0.1;25677.6;0;0;1.426533523;115;25677.6;25677.6;25677.6;15;25677.6;25677.6;25677.6;0;0;0;;;;;25677.6;25677.6;25677.6;25677.6;25677.6;25677.6;25677.6;25677.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1213;18045.65;26990.01;26990.01;26990.01;26990.01;26990.01;26990.01;26990.01;26990.01;26990.01;0.1;26990.01;0;0;1.426533523;115;26990.01;26990.01;26990.01;15;26990.01;26990.01;26990.01;0;0;0;;;;;26990.01;26990.01;26990.01;26990.01;26990.01;26990.01;26990.01;26990.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0114;18865.9;28261.05;28261.05;28261.05;28261.05;28261.05;28261.05;28261.05;28261.05;28261.05;0.1;28261.05;0;0;1.426533523;115;28261.05;28261.05;28261.05;15;28261.05;28261.05;28261.05;0;0;0;;;;;28261.05;28261.05;28261.05;28261.05;28261.05;28261.05;28261.05;28261.05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0214;16405.1;24323.76;24323.76;24323.76;24323.76;24323.76;24323.76;24323.76;24323.76;24323.76;0.1;24323.76;0;0;1.426533523;115;24323.76;24323.76;24323.76;15;24323.76;24323.76;24323.76;0;0;0;;;;;24323.76;24323.76;24323.76;24323.76;24323.76;24323.76;24323.76;24323.76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0314;17225.35;25636.17;25636.17;25636.17;25636.17;25636.17;25636.17;25636.17;25636.17;25636.17;0.1;25636.17;0;0;1.426533523;115;25636.17;25636.17;25636.17;15;25636.17;25636.17;25636.17;0;0;0;;;;;25636.17;25636.17;25636.17;25636.17;25636.17;25636.17;25636.17;25636.17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0414;18045.6;26948.58;26948.58;26948.58;26948.58;26948.58;26948.58;26948.58;26948.58;26948.58;0.1;26948.58;0;0;1.426533523;115;26948.58;26948.58;26948.58;15;26948.58;26948.58;26948.58;0;0;0;;;;;26948.58;26948.58;26948.58;26948.58;26948.58;26948.58;26948.58;26948.58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0514;18045.6;26948.58;26948.58;26948.58;26948.58;26948.58;26948.58;26948.58;26948.58;26948.58;0.1;26948.58;0;0;1.426533523;115;26948.58;26948.58;26948.58;15;26948.58;26948.58;26948.58;0;0;0;;;;;26948.58;26948.58;26948.58;26948.58;26948.58;26948.58;26948.58;26948.58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0614;17225.35;25636.17;25636.17;25636.17;25636.17;25636.17;25636.17;25636.17;25636.17;25636.17;0.1;25636.17;0;0;1.426533523;115;25636.17;25636.17;25636.17;15;25636.17;25636.17;25636.17;0;0;0;;;;;25636.17;25636.17;25636.17;25636.17;25636.17;25636.17;25636.17;25636.17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0714;18865.9;28260.99;28260.99;28260.99;28260.99;28260.99;28260.99;28260.99;28260.99;28260.99;0.1;28260.99;0;0;1.426533523;115;28260.99;28260.99;28260.99;15;28260.99;28260.99;28260.99;0;0;0;;;;;28260.99;28260.99;28260.99;28260.99;28260.99;28260.99;28260.99;28260.99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0814;17225.35;25636.17;25636.17;25636.17;25636.17;25636.17;25636.17;25636.17;25636.17;25636.17;0.1;25636.17;0;0;1.426533523;115;25636.17;25636.17;25636.17;15;25636.17;25636.17;25636.17;0;0;0;;;;;25636.17;25636.17;25636.17;25636.17;25636.17;25636.17;25636.17;25636.17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
