internal_sifra;name;short_name;mesto;address;contact_employee;phone;web_site;active;odgovorno_lice;maticni_broj;pib;sifra_delatnosti;pripada_pdvu;email
6019307;UGOSTITELJSKO TURISTIČKA ORGANIZACIJA;VOJVODINA;00043;;;;;1;F07;;;;;;
8023557;UNIMAL;UNIMAL;00043;INDUSTRIJSKI REON BB;;;;1;F07;;;;;;
8061874;UNIMAL INOMAG ELEKTRON;INOMAG;00043;RADE KONCAR 25;;;;1;F07;;;;;;
6801170;ALŽIR-KEDARA;KEDARA;03215;ALŽIR;;;;1;F07;;;;;;
6801293;LIVNICA CELIKA 285-1501000000622-18;LIVNICA;00043;;;;;1;F08;;;;;;
8072990;1 MAJ G.P. OOUR MEHANIZACIJA BAČKA TOPOL;1 MAJ MEHA;00043;BEČEJSKI PUT BB;;;;1;F08;;;;;;
8071578;TEHNOPROGRES OOUR INOKS IND NER\AJUĆE OP;TEHNOPROGRES;00049;LENJINOVA 67;;;;1;F08;;;;;;
6708234;TARA UGOSTITELJSKA;TARA;00061;;;;;1;F08;;;;;;
6717829;TARATRANS BAJINA BAŠTA;TARATRANS;00061;;;;;1;F05;;;;;;
7141556;MESNA ZAJEDNICA BANIČINA;   MESNA ZAJEDNIC;00079;;;;;1;F08;;;;;;
6018173;CENTAR ZA REHABILITACIJU;CENTAR ZA REHAB;00086;;;;;1;F08;;;;;;
6401821;BANJALUČKA PIVARA;PIVARA;00087;JELENE ĆETKOVIĆ 3;;;;1;F08;;;;;;
1118897;ELEKTROMEHANIKA R ACA 355-1024464-84;ELEKTROMEHANIKA;093;BRAĆA PAVLIĆA 25;;;;1;F08;;;;;;
6019889;ELEKTROTEHNIK;ELEKTROTEHNIK;00087;;;;;1;F08;;;;;;
6100325;INA PLIN;INA PLIN;00087;;;;;1;F08;;;;;;
1122088;JELŠINGRAD;JELŠINGRAD;00087;;;;;1;F08;;;;;;
6100155;MLADOST;MLADOST;00087;;;;;1;F08;;;;;;
6100791;NAFTAGAS PROMET;NAFTAGAS;00087;TEREN 4;;;;1;F08;;;;;;
6017479;RO AUTOSERVIS OOUR FAP;AUTOSERVIS;00087;;;;;1;F08;;;;;;
6001246;ROTOSOOUR MESNI TRANSPORT;ROTOSOOUR;00087;;;;;1;F08;;;;;;
1100661;RUDI ČAJAVEC RO ELEKTROMEHANOKA;RUDI ČAJEVEC;00087;;;;;1;F08;;;;;;
6100139;TEHNOGAS;TEHNOGAS;00087;;;;;1;F08;;;;;;
1081411;HELIOS;HELIOS;00082;;;;;1;F08;;;;;;
8141029;DUNAV;DUNAV;00082;;;;;1;F08;;;;;;
2002787;RUMIJATRANS BAR;RUMIJATRAS;00093;;;;;1;F08;;;;;;
7088809;RO FKL BARAJEVO;RO FKL;00095;;;;;1;F08;;;;;;
6030181;ZEM ZADRUGA GRUŽA BARE;ZEM ZADRUA;00102;;;;;1;F08;;;;;;
7026226;SOUR PRVA ISKRA;PRVA ISKRA;03213;;;;;1;F08;;;;;;
7063954;REIK KOLUBARA RO POVR$INSKI KOPOVI;KOLUBARA;00106;;;;;1;F08;;;;;;
6026940;AUTOMATIK INŽINJERING;AUTOMATIK;00114;;;;;1;F08;;;;;;
6710441;SILOS;SILOS;00114;;;;;1;F08;;;;;;
7144492;LEPENICA;LEPENICA;00116;;;;;1;F08;;;;;;
7149468;14 OKTOBAR;14 OKTOBAR;00116;;;;;1;F08;;;;;;
7149298;22 DECEMBAR;22 DECEMBR;00116;;;;;1;F08;;;;;;
6992064;7 JULI;7 JULI;00116;;;;;1;F08;;;;;;
6997813;ALFA KOMERC;ALFA;093;;;;;1;F08;;;;;;
6980074;SRDEKS;SRDEKS;093;;;;;1;F08;;;;;;
6997502;TEHNOELEKTRO;TEHNOELEKO;093;;;;;1;F08;;;;;;
6021964;INTEGRAL;INTEGRAL;093;;;;;1;F08;;;;;;
6995284;TEHNOBIRO COMMERC;TEHNOBIRO;00159;NJEGO$EVA 20;;;;1;F05;;;;;;
7235925;HERMES PALANKA;HERMES;093;;;;;1;F05;;;;;;
6997228;MINED PALANKA;MINED;093;;;;;1;F05;;;;;;
6997627;KANIBAL 250-1040057695031-02 BG;KANIBAL;00159;;;;;1;F05;;;;;;
6996922;ZENITLIZING;ZENITLIZIG;02155;;;;;1;F05;;;;;;
6711243;NAUČNO DRU$TVO SRBIJE;DRU$TVO;00159;;;;;1;F05;;;;;;
6700454;POSLOVNE NOVINE;NOVINE;00159;;;;;1;F05;;;;;;
6025412;CEKOS IN D.O.O 205-4187-40;CEKOS;00159;SVETOGORSKA 28;;;;1;F05;;100118943;;;;
6996019;KRUPEH;KRUPEH;00159;;;;;1;F05;;;;;;
6996949;PANORAMA;PANORAMA;00159;;;;;1;F05;;;;;;
6990401;TEHNOVAR PROMET;TEHNOVAR;00159;;;;;1;F05;;;;;;
6991602;FINEKS;FINEKS;00159;;;;;1;F05;;;;;;
6712223;RADIO TELEVIZIJA;RADIO;00159;;;;;1;F05;;;;;;
6025455;ZIDAR;ZIDAR;00119;;;;;1;F05;;;;;;
6025366;$TAMPARIJA GO$A;$TAMPARIJ;093;;;;;1;F05;;;;;;
6003834;TERMOVENT;TERMOVENT;00159;;;;;1;F05;;;;;;
6991629;TRENDEKS;TRENDEKS;00159;;;;;1;F05;;;;;;
6001491;SAMADA KOMERC;SAMADA;00250;;;;;1;F05;;;;;;
7037635;NACIONAL;NACIONAL;00159;;;;;1;F05;;;;;;
3167682;BOROVO;BOROVO;00257;;;;;1;F05;;;;;;
7254644;"KRUSIK OPRUGE""DD";KRŠIK;02862;;;;;1;F05;;;;;;
7263813;INEKS VELEPROMET;INEKS;02895;;;;;1;F05;;;;;;
6018493;METALORAD;METALORAD;02862;;;;;1;F05;;;;;;
7176244;VITOJEVAC;VITOJEVAC;03057;;;;;1;F05;;;;;;
7136404;STRELA TRAN VA 180-166050401330-90;STRELA;02862;;;;;1;F05;;;;;;
6023886;AUTOPREVOZ BARANAC RADE 220-78050-03;AUTOPREVOZ;00159;;;;;1;F05;;;;;;
6998097;IHIS;IHIS;03120;;;;;1;F05;;;;;;
6012043;FABRIKA MERNIH TRANSPORTERA;TRANSPORTI;03099;;;;;1;F05;;;;;;
6705758;UNION INŽINJERING;UNION;00962;;;;;1;F05;;;;;;
8141495;UTVA SILOSI;UTVA SILOS;01248;;;;;1;F05;;;;;;
6713068;ZASTAVA TRANSPORT;ZASTAVA;01255;;;;;1;F05;;;;;;
7152876;GVOŽ\AR;GVOŽ\AR;01261;;;;;1;F05;;;;;;
0149018;AUTOSAOBRACAJ;AUTOSAOBRAĆAJ;01255;;;;;1;F05;;;;;;
8053910;LIVNICA;LIVNICA;01132;;;;;1;F05;;;;;;
7150911;UNIOR-AD KRA 160-2222-06;UNIOR;01255;;;;;1;F05;;;;;;
7134207;ZAPADNO POLJE;POLJE;01371;;;;;1;F05;;;;;;
6703666;KVARC;KVARC;01673;;;;;1;F05;;;;;;
6701647;JEDINSTVO;JEDINSTVO;01673;;;;;1;F05;;;;;;
6711529;AUTOCOBEST MLADE 160-323893-46;AUTOCOBEST;01673;;;;;1;F05;;;;;;
6200117;ZETATRANS;ZETATRANS;01757;;;;;1;F05;;;;;;
6980490;IMP ETA;IMP;00159;;;;;1;F05;;;;;;
8050074;NIS A.D. 355-1038338-75;NIS;01796;Narodnog fronta 12;;;;1;F05;;;;;;
7173547;VULKAN;VULKAN;01759;;;;;1;F05;;;;;;
6801234;TEHNOMETAL;TEHNOMETAL;01796;;;;;1;F05;;;;;;
8033846;AGROVOJVODINA MAŠINOALAT;MAŠINOALAT;01796;;;;;1;F05;;;;;;
6801277;AGROVOJVODINA METALURGIJA;METALUR;01796;;;;;1;F05;;;;;;
7238207;OMLADINSKA ZADRUGA JASENICA;OML ZAD JASENICA;093;;;;;1;F05;;;;;;
6999913;PREVOZ;PREVOZ;093;;;;;1;F05;;;;;;
6704514;FABRIKA OBOJENIH METALA;METAL;02162;;;;;1;F05;;;;;;
6024122;FABRIKA ELEKTRODE;FABRIKA ELEKTRODE;02011;;;;;1;F05;;;;;;
7163835;GRAND PROM KISELJ 205-124171-55;GRAND;093;;;;;1;F05;;;;;;
7163924;LITOS;LITOS;02098;;;;;1;F05;;;;;;
7210434;FABRIKA AUTOMOBILA;AUTOMOBILI;02135;;;;;1;F05;;;;;;
3229254;ULJANIK;ULJANIK;02177;;;;;1;F05;;;;;;
6709109;NARODNA BANKA SRB;BANKA;093;;;;;1;F05;;;;;;
6993753;ELEKTRON;ELEKTRON;093;;;;;1;F05;;;;;;
7142854;ETPLAST;ETPLAST;093;;;;;1;F05;;;;;;
7198507;AMS AUTO CENTAR JASENICA D.O.O.;AMS;093;GLAVASEVA 87;;;;1;F05;;106204787;;;;
7319937;STAMBENA ZADRUGA;STAMBENA;093;;;;;1;F05;;;;;;
7586825;GOŠA STAN;GOŠA STAN;093;;;;;1;F05;;;;;;
6993737;VETERINARSKA STANICA;STANICA;093;;;;;1;F05;;;;;;
7198469;UTRO;UTRO;093;;;;;1;F05;;;;;;
6019692;PALTRANS;PALTRANS;093;;;;;1;F05;;;;;;
7163339;KINGSP0AN 115-24031-42;KINGSPAN;00159;;;;;1;F05;;;;;;
6703771;TEHNOGRADNJA;TEHNOGRADNJA;093;;;;;1;F05;;;;;;
9017577;EXSIMKOS;EXIMKOS;02155;;;;;1;F05;;;;;;
7244479;DRUŠTVENI FOND;DRUŠTVENI FOND;093;;;;;1;F05;;;;;;
6021107;SOLIDNOST;SOLIDNOST;093;;;;;1;F05;;;;;;
7164297;MIKULJA;MIKULJA;093;;;;;1;F05;;;;;;
6704964;BUCET -OPSTINA;BUCET OPSTINA;093;;;;;1;F05;;;;;;
7198752;ZOIL DUNAV;ZOIL DUNAV;093;;;;;1;F05;;;;;;
7199287;10 OKTOBAR;10 OKTOBAR;093;;;;;1;F05;;;;;;
6009967;GEOFON;GEOFON;02722;;;;;1;F05;;;;;;
8061238;UTVA;UTVA;01927;;;;;1;F05;;;;;;
7048521;STANDARDTRANS;STANDARD;01930;;;;;1;F05;;;;;;
7113749;IZOLMA;IZOLMA;02188;;;;;1;F05;;;;;;
6003397;ZAVOD ZA ORTOPEDIJU;ORTOPEDIJA;02277;;;;;1;F05;;;;;;
7159498;AUTOTRANSPORT;AUTOTRANSPORT;02449;;;;;1;F05;;;;;;
6991486;BOJANKOMERC;BOJANKOMERC;02449;;;;;1;F05;;;;;;
7143702;FABRIKA ODLIVAKA;FAB ODLIVAKA;02449;;;;;1;F05;;;;;;
7163070;DUNAV AGRAR BEOGRAD 205-1152-27;DUNAV;00159;;;;;1;F05;;;;;;
7222211;MILAN BLAGOJEVIC;MILAN;02449;;;;;1;F05;;;;;;
7265174;FABRIKA KOMPRESORA;KOMPRESOR;02449;;;;;1;F05;;;;;;
7143753;FAGRAM;FAGRAM;02449;;;;;1;F05;;;;;;
7246927;HBIS GROUP;HBIS;02449;Bulevar Mihajla PUPINA 6;;;;1;F05;;;;;;
7141157;METALSERVIS;METALSER;02449;;;;;1;F05;;;;;;
6400710;ZELEZNICKI TRANSPORT;NRANSPOR;02419;;;;;1;F05;;;;;;
6100252;INTERSPED;INTERSPED;02351;;;;;1;F05;;;;;;
7124104;8 OKTOBAR;OKTOBAR;02620;;;;;1;F05;;;;;;
6021492;GALVANOMETAL;GALVANOMETAL;02512;;;;;1;F05;;;;;;
7584563;MKS STARA ZELEZARA;MKS;02449;;;;;1;F05;;;;;;
7033656;ROPOCEVO;ROPOCEVO;02471;;;;;1;F05;;;;;;
6800068;SEVER KOMERC;SEVER KO;02586;;;;;1;F05;;;;;;
4053940;ILINOPROMET MAKEDONIJA;ILINOPROMET;02419;;;;;1;F05;;;;;;
1058592;ROELEKTRO;ROELEK;02351;;;;;1;F05;;;;;;
1121405;UNIS KOMERC;UNIS;02351;;;;;1;F07;;;;;;
6300936;\uro \akovic;\AKOVIC;02437;;;;;1;F05;;;;;;
6800823;VOJVODINA KOMBINAT;VOJVODINA;02522;;;;;1;F05;;;;;;
6018513;UNIVERZAL;UNIVERZAL;02522;RADE KONCAR;;;;1;F05;;;;;;
6024386;AUTOTEHNA;AUTOTEHNA;02753;;;;;1;F05;;;;;;
7123272;ŠUMADIJAPROMET;ŠUMADIJAPR;02753;;;;;1;F05;;;;;;
8053332;AGROKOP NAPREDAK;AGROKOP;02717;;;;;1;F05;;;;;;
6300600;FKL TEMERIN;FKL;02717;;;;;1;F05;;;;;;
1128094;GRADITELJ OOUR VISOKOGRADNJA;GRADITELJ;02722;;;;;1;F05;;;;;;
6991718;DP POBEDA;POBEDA;02723;;;;;1;F05;;;;;;
4033766;TETEKS TETOVO;TETEKS;02726;;;;;1;F05;;;;;;
2016249;AGROSERVIS RO;AGROSERVIS;02735;;201396;;;1;F05;;;;;;
2013916;CENTROKOP TITOGRAD;CENTROKOP;02735;;;;;1;F05;;;;;;
2014157;INDUSTRIJA GRAD MAŠINA RADOJE DAKIC;RADOJE DAKIĆ;02735;;;;;1;F05;;;;;;
6200290;INTEREKSPORT;NTEREKSPR;02735;;;;;1;F05;;;;;;
6200311;RADOJE DAKIC;DAKIC;02735;;;;;1;F05;;;;;;
6011691;RATEL 840-963627-41;RATAR;02735;;;;;1;F05;;;;;;
2017121;SIZ ZA PUTEVE;SIZ;02735;;;;;1;F05;;;;;;
6012515;MASINOPROMET;MASINOPR;02735;;;;;1;F05;;;;;;
2026341;AGROSERVIS OOUR TRANSPORT;AGROSERVIS;02735;;;;;1;F05;;;;;;
6801447;POBEDA ZARA AD PETROV 275-10220594042-75;POBEDA;01975;;;;;1;F05;;100398207;;;;
6201938;DOM PENZIONERA;DOM PENZ;02827;;;;;1;F05;;;;;;
7155913;RAKETA;RAKETA;02739;;;;;1;F05;;;;;;
6029230;RO GLOBAL;RO GLOBAL;02740;;;;;1;F05;;;;;;
5077028;AUTOPR LJUBISA LUKIC 220-47138-07;AUTOPREVOZ;02748;;;;;1;F05;;;;;;
7280238;GOŠA 12 OKTOBAR TOPOLA;12 OKTOBAR;02753;;;;;1;F05;;;;;;
6900895;RUDHEM;RUDHEM;02827;;;;;1;F05;;;;;;
6022087;MEDICINSKA PLASTIKA;MEDICINSKA;02726;;;;;1;F05;;;;;;
6200478;AUTOPREVOZ TUZLA;AUTOPREVOZ;02827;;;;;1;F05;;;;;;
6101976;RUDNICI MRKOG UGLJA BREZA;RUDNICI MRKOG UG;02827;;;;;1;F05;;;;;;
6701531;JEDINSTVO;JEDINSTVO;02828;;;;;1;F05;;;;;;
6011608;RO INZINJERING PROMET;RO INZINJERINGPR;02828;;;;;1;F05;;;;;;
6901808;EJEKTRONIK;ELEKTRONIK;02625;;;;;1;F05;;;;;;
7120591;ZORKA;ZORKA;02625;;;;;1;F05;;;;;;
6019234;GALEB 205-2449-16;GALEB;02625;;;;;1;F05;;;;;;
6024050;PROMET TRANS;PROMET;02625;;;;;1;F05;;;;;;
6026079;TERMO;TERMO;02670;;;;;1;F05;;;;;;
7168829;VOCAR PAL 170-30013019000-11;VOCAR;093;;;;;1;F05;;;;;;
7168578;7 JULI;7 JULI;02625;;;;;1;F05;;;;;;
5046351;ZELJEZARA;ZELJEZARA;02696;;;;;1;F05;;;;;;
6992293;UNIFORM;UNIFORM;02625;;;;;1;F05;;;;;;
6990746;POLUPLASTIKA;POLUPLA;02625;;;;;1;F05;;;;;;
7121750;JUGEN;JUGEN;02625;;;;;1;F05;;;;;;
7181965;FRA;FRA;00440;;;;;1;F05;;;;;;
7181515;PROSVETA;PROSVETA;00440;;;;;1;F05;;;;;;
7182325;CER;CER;00440;;;;;1;F05;;;;;;
7167288;AUTOPREVOZ;AUTOPREVOZ;00440;;;;;1;F05;;;;;;
6021760;GRAFOKOMERC;GRAFOKOM;00440;;;;;1;F05;;;;;;
7183089;JUGOPREVOZ;JUGOPREVOZ;00440;;;;;1;F05;;;;;;
7206160;SLOBODA;SLOBODA;00440;;;;;1;F05;;;;;;
6002889;NAFTAGAS;NAFTAGAS;00440;;;;;1;F05;;;;;;
1113208;MLADOST;MLADOST;00444;;;;;1;F05;;;;;;
6501249;TRANSPORT;TRANSPORT;00447;;;;;1;F05;;;;;;
5143632;PREVOZNISTVO;PREVOZ;00403;;;;;1;F05;;;;;;
5099587;KOVINOTEHNA;KOVINOTEH;00403;;;;;1;F05;;;;;;
6701957;ZAVOD ZA STANDARDI BG 840-42845-21;ZAVOD;00159;;;;;1;F07;;;;;;
6993257;GRAMONT KOMERC;GRAM.KOMEC;00159;;;;;1;F07;;;;;;
6703704;MIHAJLO PUPIN;MIHAILO PUP;00159;;;;;1;F07;;;;;;
6715567;TERMOELKTRO;TERMOELEKTRO;00159;;;;;1;F07;;;;;;
6700250;BEOGRADELEKTRO 355-1006685-71;BEBEOGRADELEKTRO;00159;;;;;1;F07;;;;;;
