SIFRA;NAZIV
12304;Upravnik odrcavanja
35001;Ref.fin.operat.obrac.LD-naknade
35002;Ref.obracuna-naknade
34401;Sef knjigovodstva
12401;Sef mas.obrade i mont.u pog.TMO
12402;Regler masina
12403;Sef proizvodnje reduktora
12404;Sef radionice pripr.radova
12405;Sef brav.radionice I
12406;Sef brav.radionice II
12407;Sef ul.kontrole i kontrole u RPR
12719;Brigadir automehan.posl.
12718;Brigadir m.farbar.posl.
12701;Brigadir mas.montace
12702;Brigadir transporta i kranovo|a
12703;Brigadir montace reduktora
12704;Brigadir termicke obrade
12705;Brigadir mas.odrcavanja
12706;Brigadir obelecav.na metalu
12707;Brigad.na prot.pesk.i farbari
12708;Brigadir ruc.obrade met.brus.
12709;Brigadir busackih posl.
12710;Brigadir transporta
12711;Brigadir dizalicara
12712;Brigadir bravar.posl.
12713;Brigadir el.zavariv.posl.
12714;Brigadir autog.ispravljanja
12715;Brigadir dizal.tran.radnik
12716;xxx
12717;Brigadir cistacica
16901;Brav.posl. sec.na makaz. K4
16902;Posl.sec.na testerama K-4
16903;Brav.posl.ruc.obrad.met. brus. K3
16904;xxx
16905;Br.posl.savij.i isprav.na valjcima K4
16906;Sef transporta
16907;Bravarski poslovi  K5
40501;^istac na odrc.sanit.cvora
19201;Posl.gas.rez.met.rucno  K-3
19202;Posl.gas.rez.met.na mas. K-3
16801;Brav.posl. sec.na makaz. K5
16802;Brav.posl.ruc.obrad.met. brus. K5
16803;Brav.posl.na busilici  K5
16908;Br.posl.savij.i isprav.na valjcima K5
16800;xxx
34402;Sef odelj.za plan i analizu
19001;Posl.gas.rez.met.rucno  K-5
19002;Posl.gas.rez.met.na mas. K-5
19003;Posl.gas.rez.i isprav. K-5
19801;xxx
13901;Admin.sluc.-poenter-daktilograf
12601;Poslovodja II smene
12602;Poslovodja m.strugar.posl.
12603;Poslovodja busackih poslova
12604;Poslovodja glodackih poslova
12605;Poslovodja m.brusackih posl.
12606;Poslovodja transporta
12607;Poslovodja ostraca
12608;Poslovo|a ozub.i m.glod.posl.
12609;Posl.m.strug.posl.na tes.mas.
12610;Posl.gas.rez.i obel.na met.i sec.na mak.
12611;Poslovodja gas.rez.na kopirkama
12612;Posl.na peskari i sec.na testeri
12613;Posl.busaca i rucne obrade
12614;Poslovo|a bravarskih posl.
12615;Poslovo|a m.farbar.posl.
12616;Poslovo|a posl.na autog.isprav.
12617;Poslovo|a mas.odrcavanja
12618;Poslovo|a el.odrcavanja
33101;Ing.obezbe|.kvaliteta
13601;Ref.za sindikalna pitanja
13602;Ref.OPP za tehnic.dokument.
34901;Sam.ref.fin.operat.-dobavljaci
34902;Sam.referent kupaca
34903;Sam.ref.fin.operat.-obracun LD
34904;Sam.ref.obracuna-kredita
34905;Sam.ref.fin.operat.-blagajne
19301;Posl.gas.rez.i isprav. K-2
40001;Referent ZNR i PPZ
40002;Referent PPZ
13001;Sef radionic.i operat.pripr.
05801;Sef magac.alatnice i ostrac.
02200;"Direktor HK GOSA - FOM;d.o.o."
