RBVP;NAZI;BLOK;SLOV,C,1;POK1,C,1;POK2,C,1;POK3,C,1;DOVP,L;DFVP,C,1;KESC,C,1;EFSA,L;PRKV,N,2,0;M4,C,1;REDOSLED_POENTAZA_OPIS;PREF,C,1;REDOSLED_POENTAZA;PROD,C,1;PLAC,C,1;PRE,C,1;KONT1,C,6;ANSI1,C,1;ZNAK1,N,2,0;MBKO1,C,7;KONT2,C,6;ANSI2,C,1;ZNAK2,N,2,0;MBKO2,C,7;KONT3,C,6;ANSI3,C,1;ZNAK3,N,2,0;MBKO3,C,7;KONT4,C,6;ANSI4,C,1;ZNAK4,N,2,0;MBKO4,C,7;ZIRO,C,30;PB,C,2;PART,C,20;MONTA,C,1;KATEG,C,1;SM,C,1;OGRAN,C,1;PROSEK,C,1;VARI,C,1
085;GODISNJI ODMOR st KS;{ || KOP->SATI*MDR->KOEF1*KOE->C_R*MDR->PRPB*MDR->KFAK };O;3;K;S;1;;P;0;3;3;31;N;19;0;5;2;;;0;;;;0;;;;0;;;;0;;;;;1;;1;3;;
086;PREKOVREMENI  ST. KS;{ || KOP->SATI*MDR->KOEF1*KOE->C_R*1.26*MDR->KFAK };I;2;K;S;1;;P;0;2;2;29;N;19;0;5;0;;;0;;;;0;;;;0;;;;0;;;;;1;;1;;3;
087;PORODILJSKO ODSUSTVO;{ || KOP->IZNO };O;1;G;S;1;;P;0;0;4;31;D;31;0;0;0;;;0;;;;0;;;;0;;;;0;;;;;1;;1;;;
088;BOL/PRET. MESEC 65%;{ || KOP->SATI*MDR->KOEF/176*KOE->C_R2*0.65*MDR->KFAK };O;3;G;;1;;P;0;3;3;30;N;19;0;5;0;;;0;;;;0;;;;0;;;;0;;;;;1;;1;3;;
089;BOL/PRET. MESEC 100%;{ || KOP->SATI*MDR->KOEF/176*KOE->C_R2*MDR->KFAK };O;3;G;;1;;P;0;3;3;31;N;19;0;5;0;;;0;;;;0;;;;0;;;;0;;;;;1;;1;3;;
093;KREDITI;{ || KOP->IZNO };V;0;K;;0;A;R;0;0;0;31;N;19;0;0;0;;;0;;;;0;;;;0;;;;0;;;;;;;;;;
094;SAMODOPRINOS;{||(ZAR->IZNETO/NTO->STOPA1*KOP->PERC/100)+(POR->IZN1/KOE->BR_S)*(ZAR->SSZNE+ZAR->SSNNE-ZAR->PREKOV)*POR->P1*KOP->PERC/100 };T;0;K;;0;F;R;0;0;0;31;N;19;0;0;0;;;0;;;;0;;;;0;;;;0;;;;;;;;;;
095;ISPLACEN LD;{ || KOP->IZNO };T;0;K;;1;;R;0;0;0;31;N;19;0;0;0;;;0;;;;0;;;;0;;;;0;;;;;1;;1;;;
096;PLENIDBA ZARADE 1/2;{ || ((ZAR->IZNETO*0.701)+(POR->IZN1*POR->P1)/KOE->BR_S*ZAR->SSZNE)/2 };T;0;K;;0;;R;0;0;0;31;N;19;0;0;0;;;0;;;;0;;;;0;;;;0;;;;;1;;1;;;
098;NEZAVISNI SINDIKAT;{||(ZAR->IZNETO/NTO->STOPA1*0.01)+((por->izn1/koe->br_s)*(zar->sszne+zar->ssnne-zar->prekov)*por->p1*0.01)};T;0;K;;0;A;R;0;0;0;31;N;19;0;0;0;;;0;;;;0;;;;0;;;;0;;;;;;;;;;
099;ASNS - SINDIKAT (1%);{ || ZAR->IZNETO*0.01 };T;0;K;;0;A;R;0;0;0;31;N;19;0;0;0;;;0;;;;0;;;;0;;;;0;;;;;;;;;;
