SM;SIFRA_Materijala;NAZIV;DIMENZIJA;KVALITET;STANDARD;JM;KONTO;POCST_Kolicina;POCST_Vrednost;ULAZKolicina;ULAZ_Vrednost;IZLAZKolicina;IZLAZ_Vrednost;STANJE_Kolicina;STANJE_Vrednost;CENA
52;311600417;VIJAK;M 20 x  90;8.8;JUS M.B1.124;kom;101000;10;2366.31;0;0;0;0;10;2366.31;236.63
52;311600419;VIJAK;M 12 x  40;8.8;JUS M.B1.125;kom;101000;25;2703.43;0;0;0;0;25;2703.43;108.14
52;311600420;VIJAK;M 12 x  45;8.8;JUS M.B1.125;kom;101000;11;697.89;0;0;0;0;11;697.89;63.44
52;311600421;VIJAK;M 16 x  35;8.8;JUS M.B1.125;kom;101000;2;191.59;0;0;0;0;2;191.59;95.8
52;311600422;VIJAK;M  6 x  96;8.8;JUS M.B1.125;kom;101000;89;7565;0;0;16;1360;73;6205;85
52;311600429;VIJAK;M  5 x  55;12.9;JUS M.B1.120;kom;101000;5;960;0;0;0;0;5;960;192
52;311600434;VIJAK;M  4 x  30;8.8;JUS M.B1.120;kom;101000;244;1354.93;0;0;0;0;244;1354.93;5.55
52;311600440;VIJAK;M  6 x 145;10.9;JUS M.B1.120;kom;101000;3;377.92;0;0;0;0;3;377.92;125.97
52;311600443;VIJAK;M  8 x  40;5.6;JUS M.B1.120;kom;101000;90;1350;0;0;0;0;90;1350;15
52;311600444;VIJAK;M  4 x  70;8.8;JUS M.B1.120;kom;101000;30;360;0;0;0;0;30;360;12
52;311600447;VIJAK;M  8 x  20;A2;JUS M.B1.120;kom;101000;13;199.25;0;0;0;0;13;199.25;15.33
52;311600448;VIJAK;M 20 x  90;8.8;JUS M.B1.120;kom;101000;6;955.26;0;0;0;0;6;955.26;159.21
52;311600449;VIJAK;M 20 x 160;8.8;JUS M.B1.120;kom;101000;2;497.46;0;0;0;0;2;497.46;248.73
52;311600451;VIJAK;M 16 x  50;5.6;JUS M.B1.126;kom;101000;96;11112.23;0;0;0;0;96;11112.23;115.75
52;311600455;VIJAK;M  6 x  16;10.9;JUS M.B1.126;kom;101000;125;1233.44;0;0;20;197.35;105;1036.09;9.87
52;311600457;VIJAK;M  6 x  20;A2;JUS M.B1.120;kom;101000;1;9.88;0;0;0;0;1;9.88;9.88
52;311600459;VIJAK;M 12 x  50;12.9;JUS M.B1.120;kom;101000;2;97.3;0;0;0;0;2;97.3;48.65
52;311600461;VIJAK;M  5 x  80;8.8;JUS M.B1.120;kom;101000;20;510;0;0;0;0;20;510;25.5
52;311600462;VIJAK;M  5 x  50;8.8;JUS M.B1.120;kom;101000;11;50.52;0;0;11;50.52;0;0;0
52;311600465;VIJAK;M 20 x  45;8.8;JUS M.B1.120;kom;101000;4;390;0;0;0;0;4;390;97.5
52;311600470;VIJAK;M 20 x  40;12.9;JUS M.B1.120;kom;101000;1;180;0;0;0;0;1;180;180
52;311600478;VIJAK;M 10 x  16;8.8;JUS M.B1.124;kom;101000;21;1084.96;0;0;0;0;21;1084.96;51.66
52;311600480;VIJAK;M 10 x 130;12.9;JUS M.B1.120;kom;101000;1;70;0;0;0;0;1;70;70
52;311600482;VIJAK;M  6 x 140;10.9;JUS M.B1.120;kom;101000;52;4669.6;0;0;0;0;52;4669.6;89.8
52;311600483;VIJAK;M 10 x 140;10.9;JUS M.B1.120;kom;101000;2;194.6;0;0;0;0;2;194.6;97.3
52;311600484;VIJAK;M 16 x  65;8.8;JUS M.B1.126;kom;101000;4;517.36;0;0;0;0;4;517.36;129.34
52;311600486;VIJAK;M 24 x 100;8.8;JUS M.B1.124;kom;101000;10;5597.32;0;0;0;0;10;5597.32;559.73
52;311600487;VIJAK;M 20 x 200;8.8;JUS M.B1.120;kom;101000;5;1208.84;0;0;0;0;5;1208.84;241.77
52;311600489;VIJAK;M 20 x  40;8.8;JUS M.B1.126;kom;101000;210;23735.7;0;0;0;0;210;23735.7;113.03
52;311600491;VIJAK;M 16 x  40;8.8;JUS M.B1.125;kom;101000;1;101.88;0;0;0;0;1;101.88;101.88
52;311600492;VIJAK;M 20 x  60;8.8;JUS M.B1.126;kom;101000;31;5801.97;0;0;0;0;31;5801.97;187.16
52;311600495;VIJAK;M  5 x  40;8.8;JUS M.B1.120;kom;101000;6;27.75;0;0;6;27.75;0;0;0
52;311600496;VIJAK;M 12 x  70;A2;JUS M.B1.120;kom;101000;2;186;0;0;0;0;2;186;93
52;311600497;VIJAK;M 16 x 160;8.8;JUS M.B1.120;kom;101000;1;168;0;0;0;0;1;168;168
52;311600499;VIJAK;M 10 x  45;10.9ZN;JUS M.B1.126;kom;101000;4;142.29;0;0;0;0;4;142.29;35.57
52;311600500;VIJAK;M 10 x  95;8.8;JUS M.B1.120;kom;101000;4;122.82;0;0;0;0;4;122.82;30.71
52;311600508;VIJAK;M 10 x 135;8.8;JUS M.B1.120;kom;101000;2;150.88;0;0;0;0;2;150.88;75.44
52;311600511;VIJAK;M 16 x  35;8.8;JUS M.B1.126;kom;101000;6;154.68;0;0;0;0;6;154.68;25.78
52;311600518;VIJAK;M 14 x  35;8.8;JUS M.B1.120;kom;101000;37;1591.08;0;0;0;0;37;1591.08;43
52;311600519;VIJAK;M  4 x  40;8.8;JUS M.B1.120;kom;101000;18;174.06;0;0;0;0;18;174.06;9.67
52;311600520;VIJAK;M  5 x  30;12.9;JUS M.B1.120;kom;101000;19;285;0;0;0;0;19;285;15
52;311600522;VIJAK;M 10 x  45;8.8;JUS M.B1.126;kom;101000;2;88.5;0;0;0;0;2;88.5;44.25
52;311600528;VIJAK;M 10 x  70;8.8ZN;JUS M.B1.120;kom;101000;4;59.47;0;0;0;0;4;59.47;14.87
52;311600529;VIJAK;M 12 x 100;8.8;JUS M.B1.124;kom;101000;6;786.06;0;0;0;0;6;786.06;131.01
52;311600532;VIJAK;M 16 x  90;10.9;JUS M.B1.120;kom;101000;2;251.15;0;0;0;0;2;251.15;125.58
52;311600533;VIJAK;M 20 x 170;10.9;JUS M.B1.120;kom;101000;2;738.56;0;0;0;0;2;738.56;369.28
52;311600535;VIJAK;M 12 x  80;10.9;JUS M.B1.126;kom;101000;10;868.91;0;0;0;0;10;868.91;86.89
52;311600536;VIJAK;M 10 x  35;10.9;JUS M.B1.126;kom;101000;17;546.01;0;0;0;0;17;546.01;32.12
52;311600538;VIJAK;M 36 x 230;10.9;JUS M.B1.120;kom;101000;4;7232.91;0;0;0;0;4;7232.91;1808.23
52;311600540;VIJAK;M 20 x 160;8.8ZN;JUS M.B1.120;kom;101000;5;920.7;0;0;0;0;5;920.7;184.14
52;311600541;VIJAK;M  6 x  25;10.9ZN;JUS M.B1.126;kom;101000;15;132.45;0;0;0;0;15;132.45;8.83
52;311600543;VIJAK;M 16 x 150;8.8;JUS M.B1.120;kom;101000;2;280;0;0;0;0;2;280;140
52;311600545;VIJAK;M  6 x  20;8.8;JUS M.B1.125;kom;101000;512;9727.9;0;0;0;0;512;9727.9;19
52;311600546;VIJAK;M 16 x  80;8.8;JUS M.B1.125;kom;101000;12;3318.81;0;0;0;0;12;3318.81;276.57
52;311600549;VIJAK;M  6 x  18;10.9;JUS M.B1.126;kom;101000;16;143.28;0;0;0;0;16;143.28;8.96
52;311600554;VIJAK;M 16 x  50;8.8CADM;JUS M.B1.126;kom;101000;2;209.1;0;0;0;0;2;209.1;104.55
52;311600563;VIJAK;M 16 x  65;A2;JUS M.B1.124;kom;101000;22;4356.99;0;0;0;0;22;4356.99;198.05
52;311600564;VIJAK;M 20 x 110;8.8ZN;JUS M.B1.120;kom;101000;5;345;0;0;0;0;5;345;69
52;311600579;VIJAK;M 24 x  60;8.8;JUS M.B1.126;kom;101000;15;6468.75;0;0;0;0;15;6468.75;431.25
52;311600580;VIJAK;M 20 x 100;8.8;JUS M.B1.126;kom;101000;18;3891.06;0;0;0;0;18;3891.06;216.17
52;311600581;VIJAK;M 10 x  30;10.9ZN;JUS M.B1.126;kom;101000;7;207.48;0;0;7;207.48;0;0;0
52;311600584;VIJAK;M 16 x 140;8.8;JUS M.B1.120;kom;101000;5;268.88;0;0;0;0;5;268.88;53.78
52;311600585;VIJAK;M 10 x  20;8.8ZN;JUS M.B1.120;kom;101000;8;96.64;0;0;0;0;8;96.64;12.08
52;311600586;VIJAK;M 18 x  60;12.9;JUS M.B1.120;kom;101010;144;28343.2;0;0;0;0;144;28343.2;196.83
52;311600587;VIJAK;M 14 x  45;12.9;JUS M.B1.120;kom;101010;12;843.55;0;0;0;0;12;843.55;70.3
52;311600589;VIJAK;M 24 x 130;12.9;JUS M.B1.120;kom;101010;80;42739.73;0;0;0;0;80;42739.73;534.25
52;311600592;VIJAK;M 10 x  30;10.9;JUS M.B1.126;kom;101000;27;802.91;0;0;0;0;27;802.91;29.74
52;311600593;VIJAK;M 12 x  90;10.9ZN;JUS M.B1.126;kom;101000;32;2000;0;0;0;0;32;2000;62.5
52;311600595;VIJAK;M 10 x  35;10.9ZN;JUS M.B1.126;kom;101000;10;313;0;0;8;250.4;2;62.6;31.3
52;311600598;VIJAK;M 20 x  70;12.9;JUS M.B1.120;kom;101000;2;390;0;0;0;0;2;390;195
52;311600600;VUJAK;M 10 x  65;8.8ZN;JUS M.B1.120;kom;101000;6;133.95;0;0;0;0;6;133.95;22.33
52;311600601;VIJAK;M 12 x  95;8.8;JUS M.B1.125;kom;101000;2;82.56;0;0;0;0;2;82.56;41.28
52;311600602;VIJAK;M 12 x  50;8.8ZN;JUS M.B1.120;kom;101000;6;172.21;0;0;1;28.7;5;143.51;28.7
52;311600609;VIJAK;M  8 x  30;8.8;JUS M.B1.125;kom;101000;90;1125;0;0;0;0;90;1125;12.5
52;311600611;VIJAK;M 12 x  30;12.9;JUS M.B1.126;kom;101000;16;443.42;0;0;0;0;16;443.42;27.71
52;311600612;VIJAK;M 10 x  25;A2;JUS M.B1.125;kom;101000;60;2310;0;0;0;0;60;2310;38.5
52;311600613;VIJAK;M 10 x  35;A2;JUS M.B1.125;kom;101000;49;2410.8;0;0;0;0;49;2410.8;49.2
52;311600618;VIJAK;M 12 x  30;A2;JUS M.B1.125;kom;101000;2;255.68;0;0;0;0;2;255.68;127.84
52;311600621;VIJAK;M 12 x  20;A2;JUS M.B1.125;kom;101000;8;1680;0;0;0;0;8;1680;210
52;311600622;VIJAK;M 16 x  70;A2;JUS M.B1.125;kom;101000;4;1718;0;0;0;0;4;1718;429.5
52;311600625;VIJAK;M 36 x 200;8.8;JUS M.B1.120;kom;101000;1;1822.8;0;0;0;0;1;1822.8;1822.8
52;311600626;VIJAK;M 16 x  50;12.9;JUS M.B1.120;kom;101010;39;3836.28;0;0;0;0;39;3836.28;98.37
52;311600629;VIJAK;M 16 x  65;12.9;JUS M.B1.120;kom;101000;49;3413.7;0;0;0;0;49;3413.7;69.67
52;311600631;VIJAK;M 16 x  60;8.8;JUS M.B1.124;kom;101000;23;3795;0;0;0;0;23;3795;165
52;311600632;VIJAK;M 20 x 100;5.6;JUS M.B1.126;kom;101000;28;6449.02;0;0;0;0;28;6449.02;230.32
52;311600636;VIJAK;M 10 x  20;8.8;JUS M.B1.124;kom;101000;8;248.52;0;0;0;0;8;248.52;31.07
52;311600637;VIJAK;M 12 x  90;8.8;JUS M.B1.124;kom;101000;2;267.44;0;0;0;0;2;267.44;133.72
52;311600640;VIJAK;M 16 x 130;8.8ZN;JUS M.B1.120;kom;101000;1;94.5;0;0;0;0;1;94.5;94.5
52;311600641;VIJAK;M 12 x  80;10.9ZN;JUS M.B1.126;kom;101000;11;837.96;0;0;0;0;11;837.96;76.18
52;311600645;VIJAK;M 12 x  50;A2;JUS M.B1.126;kom;101000;31;1857.3;0;0;0;0;31;1857.3;59.91
52;311600646;VIJAK;M 12 x  70;A2;JUS M.B1.126;kom;101000;1;101.76;0;0;0;0;1;101.76;101.76
52;311600647;VIJAK;M 20 x  55;8.8;JUS M.B1.126;kom;101000;59;11318.31;0;0;0;0;59;11318.31;191.84
52;311600649;VIJAK;M 24 x  80;8.8;JUS M.B1.120;kom;101000;2;437.89;0;0;0;0;2;437.89;218.95
52;311600657;VIJAK;M 12 x  25;12.9;JUS M.B1.120;kom;101000;4;88;0;0;0;0;4;88;22
52;311600660;VIJAK;M 10 x  45;10.9;JUS M.B1.126;kom;101000;107;3846.16;0;0;0;0;107;3846.16;35.95
52;311600661;VIJAK;M 20 x  40;8.8ZN;JUS M.B1.120;kom;101000;1;72.26;0;0;0;0;1;72.26;72.26
52;311600664;VIJAK;M 12 x  45;12.9;JUS M.B1.120;kom;101000;6;177.61;0;0;0;0;6;177.61;29.6
52;311600671;VIJAK;M 12 x  25;5.8;JUS M.B1.126;kom;101000;8;137.64;0;0;0;0;8;137.64;17.21
52;311600672;VIJAK;M 16 x  30;5.8;JUS M.B1.126;kom;101000;58;2945.12;0;0;0;0;58;2945.12;50.78
52;311600674;VIJAK;M  5 x  40;8.8ZN;JUS M.B1.120;kom;101000;6;23.4;0;0;6;23.4;0;0;0
52;311600676;VIJAK;M  5 x  75;8.8ZN;JUS M.B1.120;kom;101000;100;3077.3;0;0;0;0;100;3077.3;30.77
52;311600677;VIJAK;M  5 x  90;8.8ZN;JUS M.B1.120;kom;101000;4;156;0;0;0;0;4;156;39
52;311600680;VIJAK;M 20 x  45;8.8ZN;JUS M.B1.120;kom;101000;20;2560;0;0;0;0;20;2560;128
52;311600683;VIJAK;M 10 x  60;10.9;JUS M.B1.120;kom;101000;4;101.68;0;0;0;0;4;101.68;25.42
52;311600686;VIJAK;M 10 x  30;8.8ZN;JUS M.B1.125;kom;101000;2;98;0;0;0;0;2;98;49
52;311600687;VIJAK;M 24 x  90;8.8;JUS M.B1.120;kom;101000;1;236.68;0;0;0;0;1;236.68;236.68
52;311600691;VIJAK;M 12 x  35;10.9ZN;JUS M.B1.126;kom;101000;8;280;0;0;0;0;8;280;35
52;311600699;VIJAK;M 16 x  65;A2;JUS M.B1.125;kom;101000;3;617.16;0;0;0;0;3;617.16;205.72
52;311600700;VIJAK;M 16 x  85;A2;JUS M.B1.125;kom;101000;3;692.16;0;0;0;0;3;692.16;230.72
52;311600703;VIJAK;M 12 x  30;10.9ZN;JUS M.B1.126;kom;101000;212;9829.66;0;0;0;0;212;9829.66;46.37
52;311600705;VIJAK;M 10 x  40;10.9;JUS M.B1.126;kom;101000;20;694.17;0;0;0;0;20;694.17;34.71
52;311600706;VIJAK;M 20 x  35;8.8;JUS M.B1.126;kom;101000;40;6541.82;0;0;0;0;40;6541.82;163.55
52;311600710;VIJAK;M 16 x 180;8.8;JUS M.B1.126;kom;101000;6;1500;0;0;0;0;6;1500;250
52;311600717;VIJAK;M 16 x  95;8.8;JUS M.B1.120;kom;101000;1;71.87;0;0;0;0;1;71.87;71.87
52;311600718;VIJAK;M 24 x 110;12.9;JUS M.B1.120;kom;101000;6;1800;0;0;0;0;6;1800;300
52;311600722;VIJAK;M 10 x  70;10.9;JUS M.B1.126;kom;101000;4;271.48;0;0;0;0;4;271.48;67.87
52;311600725;VIJAK;M 24 x 150;12.9;JUS M.B1.120;kom;101000;2;770;0;0;0;0;2;770;385
52;311600731;VIJAK;M 16 x  35;12.9A3B;JUS M.B1.120;kom;101000;8;796;0;0;0;0;8;796;99.5
52;311600734;VIJAK;M 16 x  70;5.8A3B;JUS M.B1.126;kom;101000;10;1012.98;0;0;0;0;10;1012.98;101.3
52;311600735;VIJAK;M 12 x  25;10.9A3B;JUS M.B1.126;kom;101000;4;166;0;0;0;0;4;166;41.5
52;311600736;VIJAK;M 16 x  35;8.8GAL.VERZ.;JUS M.B1.120;kom;101010;25;909.18;0;0;0;0;25;909.18;36.37
52;311600737;VIJAK;M 16 x  45;8.8;JUS M.B1.120;kom;101010;94;3172.75;0;0;0;0;94;3172.75;33.75
52;311600740;VIJAK;M 10 x  30;A2;JUS M.B1.126;kom;101000;2;57;0;0;0;0;2;57;28.5
52;311600742;VIJAK;M 16 x 120;8.8A3B;JUS M.B1.126;kom;101000;8;1800;0;0;0;0;8;1800;225
52;311600744;VIJAK;M 12 x  25;A3B;JUS M.B1.120;kom;101000;2;50.26;0;0;0;0;2;50.26;25.13
52;311600746;VIJAK;M 16 x  35;A3B;JUS M.B1.120;kom;101000;27;1350;0;0;0;0;27;1350;50
52;311600748;VIJAK;M 20 x 100;A4.80;JUS M.B1.126;kom;101000;1;825.94;0;0;0;0;1;825.94;825.94
52;311600752;VIJAK;M 12 x  25;8.8A3B;JUS M.B1.120;kom;101000;19;370.92;0;0;0;0;19;370.92;19.52
52;311600756;VIJAK;M 20 x  80;8.8A3B;JUS M.B1.126;kom;101000;4;1168;0;0;0;0;4;1168;292
52;311600760;VIJAK;M 10 x  65;12.9;JUS M.B1.120;kom;101010;114;2958.35;0;0;0;0;114;2958.35;25.95
52;311600761;VIJAK;M 24 x 130;A4-80;JUS M.B1.120;kom;101000;2;3160;0;0;0;0;2;3160;1580
52;311600763;VIJAK;M 10 x  45;12.9;JUS M.B1.120;kom;101000;17;663;0;0;9;351;8;312;39
52;311600767;VIJAK;M 20 x  70;109ZN;JUS M.B1.126;kom;101000;1;299;0;0;0;0;1;299;299
52;311600778;VIJAK;M 20 x  70;10.9;JUS M.B1.126;kom;101000;45;10731.38;0;0;0;0;45;10731.38;238.48
52;311600780;VIJAK;M 22 x  85;10.9;JUS M.B1.120;kom;101000;10;5664.83;0;0;0;0;10;5664.83;566.48
52;311600785;VIJAK;M  8 x  45;8.8ZN;JUS M.B1.124;kom;101000;5;218.62;0;0;0;0;5;218.62;43.72
52;311600800;VIJAK;M  8 x  16;8.8ZN;JUS M.B1.120;kom;101000;1;9.14;0;0;0;0;1;9.14;9.14
52;311600805;VIJAK;M 12 x  40;10.9ZN;JUS M.B1.126;kom;101000;15;553.5;0;0;0;0;15;553.5;36.9
52;311600809;VIJAK;M 10 x  55;8.8ZN;JUS M.B1.120;kom;101000;1;22.74;0;0;0;0;1;22.74;22.74
52;311600813;VIJAK;M 12 x  90;10.9;JUS M.B1.124;kom;101000;2;300;0;0;0;0;2;300;150
52;311600820;VIJAK;M 16 x  45;12.9ZN;JUS M.B1.120;kom;101000;10;700;0;0;0;0;10;700;70
52;311600821;VIJAK;M  6 x  12;ZN;JUS M.B1.126;kom;101000;24;240;0;0;0;0;24;240;10
52;311600826;VIJAK;M 10 x  16;10.9;JUS M.B1.126;kom;101000;20;650;0;0;0;0;20;650;32.5
52;311600839;VIJAK;M 18 x  55;8.8;JUS M.B1.120;kom;101000;25;1600;0;0;0;0;25;1600;64
52;311600842;VIJAK;M 16 x  65;10.9;JUS M.B1.120;kom;101000;6;341.1;0;0;0;0;6;341.1;56.85
52;311600845;VIJAK;M 12 x  30;12.9 ZN A3B;JUS M.B1.126;kom;101000;10;650;0;0;0;0;10;650;65
52;311600848;VIJAK;M 20 x  80;A-4;JUS M.B1.126;kom;101000;4;2620;0;0;0;0;4;2620;655
52;311600855;VIJAK;M 16 x 100;8.8;JUS M.B1.120;kom;101010;138;16061.26;0;0;0;0;138;16061.26;116.39
52;311600858;VIJAK;M 16 x  50;12.9;JUS M.B1.126;kom;101000;2;190;0;0;0;0;2;190;95
52;311600859;VIJAK;M 16 x  50;10.9;JUS M.B1.126;kom;101000;4;385.6;0;0;0;0;4;385.6;96.4
52;311600863;VIJAK;M  8 x  40;10.9;JUS M.B1.120;kom;101000;16;293.18;0;0;0;0;16;293.18;18.32
52;311600864;VIJAK;M 16 x  40;10.9 ZN;JUS M.B1.126;kom;101000;9;812.68;0;0;0;0;9;812.68;90.3
52;311600865;VIJAK;M 12 x  40;12.9;JUS M.B1.126;kom;101000;5;184.8;0;0;0;0;5;184.8;36.96
52;311600867;VIJAK;M 16 x  30;8.8;JUS M.B1.125;kom;101000;1;185;0;0;0;0;1;185;185
52;311600868;VIJAK;M  6 x  12;A2;JUS M.B1.126;kom;101000;1;25.8;0;0;0;0;1;25.8;25.8
52;311600870;VIJAK;M 30 x 200;;JUS M.B1.120;kom;101000;1;1400;0;0;0;0;1;1400;1400
52;311600871;VIJAK;M 10 x  80;8.8;JUS M.B1.125;kom;101000;10;850;0;0;0;0;10;850;85
52;311600873;VIJAK;M 10 x  30;8.8 ZN;JUS M.B1.126;kom;101000;1;34.22;0;0;0;0;1;34.22;34.22
52;311600879;VIJAK;M 16 X 40;10.9;JUS M.B1.126;kom;101000;7;875;0;0;0;0;7;875;125
52;311600887;VIJAK;M 12 x  60;10.9;JUS M.B1.126;kom;101000;4;195.6;0;0;0;0;4;195.6;48.9
52;311600893;VIJAK;M 16 x  65;8.8 A3B;JUS M.B1.120;kom;101000;4;217.16;0;0;0;0;4;217.16;54.29
52;311600911;VIJAK;M 12 x  50;A2;JUS M.B1.120;kom;101000;2;144;0;0;0;0;2;144;72
52;311600912;VIJAK;M 12 x  35;A2;JUS M.B1.120;kom;101000;8;456;0;0;0;0;8;456;57
52;311600913;VIJAK;M  8 x  16;10.9;JUS M.B1.120;kom;101000;8;62.72;0;0;6;47.04;2;15.68;7.84
52;311600923;VIJAK;M 16 x  35;10.9;JUS M.B1.124;kom;101000;8;792;0;0;0;0;8;792;99
52;311600924;VIJAK;M  5 x  20;12.9;JUS M.B1.120;kom;101000;30;420;0;0;0;0;30;420;14
52;311600925;VIJAK;M  5 x  45;12.9;JUS M.B1.120;kom;101000;30;870;0;0;0;0;30;870;29
52;311600926;VIJAK;M 12 x  80;A2;JUS M.B1.126;kom;101000;27;3114;0;0;0;0;27;3114;115.33
52;311600934;VIJAK;M 20 x 100;8.8 ZN;JUS M.B1.126;kom;101000;12;2026.8;0;0;0;0;12;2026.8;168.9
52;311601878;VIJAK;M 20 x  60;10.9;JUS M.B1.120;kom;101000;6;870;0;0;0;0;6;870;145
52;311601891;VIJAK;M  8 x  45;12.9;JUS M.B1.120;kom;101000;50;750;0;0;0;0;50;750;15
52;311601893;VIJAK;M  6 x  20;A4;JUS M.B1.124;kom;101000;2;32;0;0;0;0;2;32;16
52;311601894;VIJAK;M 12 x  85;8.8;JUS M.B1.124;kom;101000;24;3120;0;0;0;0;24;3120;130
52;311601909;VIJAK;M 10 x  65;8.8;JUS M.B1.125;kom;101000;70;8400;0;0;0;0;70;8400;120
52;311601910;VIJAK;M 20 x  65;8.8;JUS M.B1.120;kom;101000;9;890.46;0;0;0;0;9;890.46;98.94
52;311601917;VIJAK;M 12 x 115;8.8;JUS M.B1.124;kom;101000;1;125;0;0;0;0;1;125;125
52;311601930;VIJAK;M 36 x 235;10.9;JUS M.B1.120;kom;101000;1;2400;0;0;0;0;1;2400;2400
52;311601938;VIJAK;M 24 x  60;8.8;JUS M.B1.120;kom;101000;1;259;0;0;0;0;1;259;259
52;311601941;VIJAK;M  3 x  8;8.8;JUS M.B1.125;kom;101000;4;36;0;0;0;0;4;36;9
52;311601947;VIJAK;M 24 x 140;10.9;JUS M.B1.120;kom;101000;7;4613;0;0;0;0;7;4613;659
52;311601959;VIJAK;M 20 x  45;10.9;JUS M.B1.120;kom;101000;30;4134;0;0;0;0;30;4134;137.8
52;311700006;VIJAK;M 12 x  55;5.8;JUS M.B1.150;kom;101000;53;1235.02;0;0;0;0;53;1235.02;23.3
52;311700007;VIJAK;M 12 x  60;5.8;JUS M.B1.150;kom;101000;49;487.86;0;0;0;0;49;487.86;9.96
52;311700008;VIJAK;M 12 x  75;5.6;JUS M.B1.150;kom;101000;6;305.61;0;0;0;0;6;305.61;50.94
52;311700012;VIJAK;M 16 x  40;5.8;JUS M.B1.150;kom;101000;16;76.2;0;0;0;0;16;76.2;4.76
52;311700018;VIJAK;M 16 x  60;5.8ZN;JUS M.B1.150;kom;101000;10;90;0;0;0;0;10;90;9
52;311700022;VIJAK;M 16 x 160;10.9;JUS M.B1.150;kom;101000;12;1239.27;0;0;0;0;12;1239.27;103.27
52;311700024;VIJAK;M 20 x  80;5.8;JUS M.B1.150;kom;101000;38;3083.9;0;0;0;0;38;3083.9;81.16
52;311700028;VIJAK;M 20 x 100;C.4570;JUS M.B1.150;kom;101000;7;3304;0;0;0;0;7;3304;472
52;311700029;VIJAK;M 20 x 110;C.4570;JUS M.B1.150;kom;101000;8;4053.52;0;0;0;0;8;4053.52;506.69
52;311700036;VIJAK;M  8 x  60;5.6 ZN;JUS M.B1.171;kom;101000;6;26.4;0;0;0;0;6;26.4;4.4
52;311700053;VIJAK;M  8 x   0;5.8ZN;JUS M.B1.210;kom;101000;16;476.8;0;0;0;0;16;476.8;29.8
52;311700055;VIJAK;M 10 x   0;5.8;JUS M.B1.210;kom;101000;1;137.33;0;0;0;0;1;137.33;137.33
52;311700056;VIJAK;M 12 x   0;5.6ZN;JUS M.B1.210;kom;101000;9;2026.92;0;0;0;0;9;2026.92;225.21
52;311700057;VIJAK;M 12 x   0;8.8 ZN;JUS M.B1.210;kom;101000;3;770.43;0;0;0;0;3;770.43;256.81
52;311700070;VIJAK   *;M 30 x   0;5.8 ZN;JUS M.B1.210;kom;101000;8;13600.06;0;0;0;0;8;13600.06;1700.01
52;311700072;VIJAK;M 36 x   0;5.6;JUS M.B1.210;kom;101000;3;11848.12;0;0;2;7898.75;1;3949.37;3949.37
52;311700083;VIJAK;M 24 x 115;5.6;JUS M.B1.220;kom;101000;5;2250;0;0;0;0;5;2250;450
52;311700088;VIJAK;M  6 x  15;5.8;JUS M.B1.230;kom;101000;13;101.4;0;0;0;0;13;101.4;7.8
52;311700097;VIJAK;M 10 x  75;5.8;JUS M.B1.171;kom;101000;24;837.6;0;0;0;0;24;837.6;34.9
52;311700098;VIJAK;M 10 x  80;5.8;JUS M.B1.171;kom;101000;75;1650.4;0;0;0;0;75;1650.4;22.01
52;311700100;VIJAK;M 20 x   0;5.8 ZN;JUS M.B1.210;kom;101000;4;1872;0;0;0;0;4;1872;468
52;311700105;VIJAK;M 10 x  40;5.8ZN;JUS M.B1.171;kom;101000;890;5340;0;0;0;0;890;5340;6
52;311700109;VIJAK;M  6 x  20;5.6ZN;JUS M.B1.171;kom;101000;93;239.36;0;0;0;0;93;239.36;2.57
52;311700110;VIJAK;M  6 x  90;5.6ZN;JUS M.B1.171;kom;101000;22;99.46;0;0;0;0;22;99.46;4.52
52;311700113;VIJAK;M 16 x  50;8.8;JUS M.B1.150;kom;101000;13;513.11;0;0;0;0;13;513.11;39.47
52;311700116;VIJAK;M 36 x   0;5.6ZN;JUS M.B1.210;kom;101000;1;3975.41;0;0;0;0;1;3975.41;3975.41
52;311700117;VIJAK;M  6 x  16;ZN;JUS M.B1.171;kom;101000;150;338.5;0;0;0;0;150;338.5;2.26
52;311700118;VIJAK;M 10 x  35;5.8;JUS M.B1.200;kom;101000;1;60;0;0;0;0;1;60;60
52;311700120;VIJAK;M 16 x  75;5.6;JUS M.B1.220;kom;101000;2;230;0;0;0;0;2;230;115
52;311700121;VIJAK;M 10 x  32;5.6;JUS M.B1.220;kom;101000;4;188;0;0;0;0;4;188;47
52;311700122;VIJAK;M 12 x  75;8.8;JUS M.B1.150;kom;101000;3;297.73;0;0;0;0;3;297.73;99.24
52;311700124;VIJAK;M  8 x  20;5.8;JUS M.B1.230;kom;101000;131;8908;0;0;0;0;131;8908;68
52;311700128;VIJAK;M 16 x  40;5.6;JUS M.B1.201;kom;101000;7;2065;0;0;0;0;7;2065;295
52;311700133;VIJAK;M 12 x  80;8.8ZN;JUS M.B1.171;kom;101010;1;75.5;0;0;0;0;1;75.5;75.5
52;311700134;VIJAK;M 20 x  65;C 4570;JUS M.B1.150;kom;101000;8;3429.84;0;0;0;0;8;3429.84;428.73
52;311700135;VIJAK;M 20 x  90;C 4570;JUS M.B1.150;kom;101000;2;892.14;0;0;0;0;2;892.14;446.07
52;311700136;VIJAK;M 20 x  80;C 4570;JUS M.B1.150;kom;101000;7;3069.36;0;0;0;0;7;3069.36;438.48
