SM;SIFRA_Materijala;NAZIV;DIMENZIJA;KVALITET;STANDARD;JM;KONTO;POCST_Kolicina;POCST_Vrednost;ULAZKolicina;ULAZ_Vrednost;IZLAZKolicina;IZLAZ_Vrednost;STANJE_Kolicina;STANJE_Vrednost;CENA
52;311800107;VIJAK;M  4 x  10;5.8;JUS M.B1.280;kom;101000;55;22;0;0;0;0;55;22;0.4
52;311800112;VIJAK;M  5 x  10;5.6;JUS M.B1.280;kom;101000;23;194.02;0;0;0;0;23;194.02;8.44
52;311800123;VIJAK;M  6 x  12;5.8ZN;JUS M.B1.280;kom;101000;10;192.07;0;0;0;0;10;192.07;19.21
52;311800124;VIJAK;M  6 x  12;5.8;JUS M.B1.280;kom;101000;140;352.05;0;0;0;0;140;352.05;2.51
52;311800138;VIJAK;M  8 x  20;8.8;JUS M.B1.280;kom;101000;32;241.25;0;0;0;0;32;241.25;7.54
52;311800141;VIJAK;M  8 x  20;5.8 ZN;JUS M.B1.280;kom;101000;17;97.4;0;0;0;0;17;97.4;5.73
52;311800144;VIJAK;M  8 x  40;5.8;JUS M.B1.280;kom;101000;300;2439.58;0;0;0;0;300;2439.58;8.13
52;311800145;VIJAK;M 10 x   8;5.6;JUS M.B1.280;kom;101000;8;12;0;0;0;0;8;12;1.5
52;311800148;VIJAK;M 10 x  18;5.6;JUS M.B1.280;kom;101000;6;147.32;0;0;0;0;6;147.32;24.55
52;311800153;VIJAK;M 10 x  25;5.8;JUS M.B1.280;kom;101000;3;91.12;0;0;0;0;3;91.12;30.37
52;311800157;VIJAK;M 12 x  15;5.8;JUS M.B1.280;kom;101000;3;88.5;0;0;0;0;3;88.5;29.5
52;311800166;VIJAK;M 16 x  25;5.8 ZN;JUS M.B1.280;kom;101000;9;388.4;0;0;0;0;9;388.4;43.16
52;311800172;VIJAK;M 20 x  75;5.8 ZN;JUS M.B1.280;kom;101000;14;143.92;0;0;0;0;14;143.92;10.28
52;311800176;VIJAK;M 10 x  35;5.8;JUS M.B1.280;kom;101000;5;256.93;0;0;0;0;5;256.93;51.39
52;311800182;VIJAK;M 12 x  30;8.8;JUS M.B1.282;kom;101000;3;152.71;0;0;0;0;3;152.71;50.9
